Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL
Sandshrew,Ice,Steel,1.0,50,75,90,10,35,40,300,0.6,12.0,https://img.pokemondb.net/sprites/home/normal/2x/sandshrew.jpg
Sandslash,Ground,None,1.0,75,100,110,45,55,65,450,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg
Sandslash,Ice,Steel,1.0,75,100,120,25,65,65,450,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/sandslash.jpg
Vulpix,Fire,None,1.0,38,41,40,50,65,65,299,0.6,9.9,https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg
Vulpix,Ice,None,1.0,38,41,40,50,65,65,299,0.6,9.9,https://img.pokemondb.net/sprites/home/normal/2x/vulpix.jpg
Ninetales,Fire,None,1.0,73,76,75,81,100,100,505,1.1,19.9,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg
Ninetales,Ice,Fairy,1.0,73,67,75,81,100,109,505,1.1,19.9,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg
Diglett,Ground,None,1.0,10,55,25,35,45,95,265,0.2,0.8,https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg
Diglett,Ground,Steel,1.0,10,55,30,35,45,90,265,0.2,0.8,https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg
Dugtrio,Ground,None,1.0,35,100,50,50,70,120,425,0.7,33.3,https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg
Dugtrio,Ground,Steel,1.0,35,100,60,50,70,110,425,0.7,33.3,https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg
Meowth,Normal,None,1.0,40,45,35,40,40,90,290,0.4,4.2,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg
Meowth,Dark,None,1.0,40,35,35,50,40,90,290,0.4,4.2,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg
Meowth,Steel,None,1.0,50,65,55,40,40,40,290,0.4,4.2,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg
Persian,Normal,None,1.0,65,70,60,65,65,115,440,1.0,32.0,https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg
Persian,Dark,None,1.0,65,60,60,75,65,115,440,1.0,32.0,https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg
Growlithe,Fire,None,1.0,55,70,45,70,50,60,350,0.7,19.0,https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg
Growlithe,Fire,Rock,1.0,60,75,45,65,50,55,350,0.7,19.0,https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg
Arcanine,Fire,None,1.0,90,110,80,100,80,95,555,1.9,155.0,https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg
Arcanine,Fire,Rock,1.0,95,115,80,95,80,90,555,1.9,155.0,https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg
Alakazam,Psychic,None,1.0,55,50,45,135,95,120,500,1.5,48.0,https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg
Alakazam,Psychic,None,1.0,55,50,65,175,105,150,600,1.5,48.0,https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg
Geodude,Rock,Ground,1.0,40,80,100,30,30,20,300,0.4,20.0,https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg
Geodude,Rock,Electric,1.0,40,80,100,30,30,20,300,0.4,20.0,https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg
Graveler,Rock,Ground,1.0,55,95,115,45,45,35,390,1.0,105.0,https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg
Graveler,Rock,Electric,1.0,55,95,115,45,45,35,390,1.0,105.0,https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg
Golem,Rock,Ground,1.0,80,120,130,55,65,45,495,1.4,300.0,https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg
Golem,Rock,Electric,1.0,80,120,130,55,65,45,495,1.4,300.0,https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg
Ponyta,Fire,None,1.0,50,85,55,65,65,90,410,1.0,30.0,https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg
Ponyta,Psychic,None,1.0,50,85,55,65,65,90,410,1.0,30.0,https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg
Rapidash,Fire,None,1.0,65,100,70,80,80,105,500,1.7,95.0,https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg
Rapidash,Psychic,Fairy,1.0,65,100,70,80,80,105,500,1.7,95.0,https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg
Slowpoke,Water,Psychic,1.0,90,65,65,40,40,15,315,1.2,36.0,https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg
Slowpoke,Psychic,None,1.0,90,65,65,40,40,15,315,1.2,36.0,https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg
Slowbro,Water,Psychic,1.0,95,75,110,100,80,30,490,1.6,78.5,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg
Slowbro,Water,Psychic,1.0,95,75,180,130,80,30,590,1.6,78.5,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg
Slowbro,Poison,Psychic,1.0,95,100,95,100,70,30,490,1.6,78.5,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg
Farfetch'd,Normal,Flying,1.0,52,90,55,58,62,60,377,0.8,15.0,https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg
Farfetch'd,Fighting,None,1.0,52,95,55,58,62,55,377,0.8,15.0,https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg
Grimer,Poison,None,1.0,80,80,50,40,50,25,325,0.9,30.0,https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg
Grimer,Poison,Dark,1.0,80,80,50,40,50,25,325,0.9,30.0,https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg
Muk,Poison,None,1.0,105,105,75,65,100,50,500,1.2,30.0,https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg
Muk,Poison,Dark,1.0,105,105,75,65,100,50,500,1.2,30.0,https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg
Gengar,Ghost,Poison,1.0,60,65,60,130,75,110,500,1.5,40.5,https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg
Gengar,Ghost,Poison,1.0,60,65,80,170,95,130,600,1.5,40.5,https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg
Voltorb,Electric,None,1.0,40,30,50,55,55,100,330,0.5,10.4,https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg
Voltorb,Electric,Grass,1.0,40,30,50,55,55,100,330,0.5,10.4,https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg
Electrode,Electric,None,1.0,60,50,70,80,80,150,490,1.2,66.6,https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg
Electrode,Electric,Grass,1.0,60,50,70,80,80,150,490,1.2,66.6,https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg
Exeggutor,Grass,Psychic,1.0,95,95,85,125,75,55,530,2.0,120.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg
Exeggutor,Grass,Dragon,1.0,95,105,85,125,75,45,530,2.0,120.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg
Marowak,Ground,None,1.0,60,80,110,50,80,45,425,1.0,45.0,https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg
Marowak,Fire,Ghost,1.0,60,80,110,50,80,45,425,1.0,45.0,https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg
Weezing,Poison,None,1.0,65,90,120,85,70,60,490,1.2,9.5,https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg
Weezing,Poison,Fairy,1.0,65,90,120,85,70,60,490,1.2,9.5,https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg
Kangaskhan,Normal,None,1.0,105,95,80,40,80,90,490,2.2,80.0,https://img.pokemondb.net/sprites/home/normal/2x/kangaskhan.jpg
Kangaskhan,Normal,None,1.0,105,125,100,60,100,100,590,2.2,80.0,https://img.pokemondb.net/sprites/home/normal/2x/kangaskhan.jpg
Mr. Mime,Psychic,Fairy,1.0,40,45,65,100,120,90,460,Unknown,Unknown,https://img.pokemondb.net/sprites/home/normal/2x/mr-mime.jpg
Mr. Mime,Ice,Psychic,1.0,50,65,65,90,90,100,460,Unknown,Unknown,https://img.pokemondb.net/sprites/home/normal/2x/mr-mime.jpg
Pinsir,Bug,None,1.0,65,125,100,55,70,85,500,1.5,55.0,https://img.pokemondb.net/sprites/home/normal/2x/pinsir.jpg
Pinsir,Bug,Flying,1.0,65,155,120,65,90,105,600,1.5,55.0,https://img.pokemondb.net/sprites/home/normal/2x/pinsir.jpg
Tauros,Normal,None,1.0,75,100,95,40,70,110,490,1.4,88.4,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg
Tauros,Fighting,None,1.0,75,110,105,30,70,100,490,1.4,88.4,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg
Tauros,Fighting,Fire,1.0,75,110,105,30,70,100,490,1.4,88.4,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg
Tauros,Fighting,Water,1.0,75,110,105,30,70,100,490,1.4,88.4,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg
Gyarados,Water,Flying,1.0,95,125,79,60,100,81,540,6.5,235.0,https://img.pokemondb.net/sprites/home/normal/2x/gyarados.jpg
Gyarados,Water,Dark,1.0,95,155,109,70,130,81,640,6.5,235.0,https://img.pokemondb.net/sprites/home/normal/2x/gyarados.jpg
Eevee,Normal,None,1.0,55,55,50,45,65,55,325,0.3,6.5,https://img.pokemondb.net/sprites/home/normal/2x/eevee.jpg
Eevee,Normal,None,1.0,65,75,70,65,85,75,435,0.3,6.5,https://img.pokemondb.net/sprites/home/normal/2x/eevee.jpg
Aerodactyl,Rock,Flying,1.0,80,105,65,60,75,130,515,1.8,59.0,https://img.pokemondb.net/sprites/home/normal/2x/aerodactyl.jpg
Aerodactyl,Rock,Flying,1.0,80,135,85,70,95,150,615,1.8,59.0,https://img.pokemondb.net/sprites/home/normal/2x/aerodactyl.jpg
Articuno,Ice,Flying,1.0,90,85,100,95,125,85,580,1.7,55.4,https://img.pokemondb.net/sprites/home/normal/2x/articuno.jpg
Articuno,Psychic,Flying,1.0,90,85,85,125,100,95,580,1.7,55.4,https://img.pokemondb.net/sprites/home/normal/2x/articuno.jpg
Zapdos,Electric,Flying,1.0,90,90,85,125,90,100,580,1.6,52.6,https://img.pokemondb.net/sprites/home/normal/2x/zapdos.jpg
Zapdos,Fighting,Flying,1.0,90,125,90,85,90,100,580,1.6,52.6,https://img.pokemondb.net/sprites/home/normal/2x/zapdos.jpg
Moltres,Fire,Flying,1.0,90,100,90,125,85,90,580,2.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/moltres.jpg
Moltres,Dark,Flying,1.0,90,85,90,100,125,90,580,2.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/moltres.jpg
Mewtwo,Psychic,None,1.0,106,110,90,154,90,130,680,2.0,122.0,https://img.pokemondb.net/sprites/home/normal/2x/mewtwo.jpg
Mewtwo,Psychic,Fighting,1.0,106,190,100,154,100,130,780,2.0,122.0,https://img.pokemondb.net/sprites/home/normal/2x/mewtwo.jpg
Mewtwo,Psychic,None,1.0,106,150,70,194,120,140,780,2.0,122.0,https://img.pokemondb.net/sprites/home/normal/2x/mewtwo.jpg
Typhlosion,Fire,None,2.0,78,84,78,109,85,100,534,1.7,79.5,https://img.pokemondb.net/sprites/home/normal/2x/typhlosion.jpg
Typhlosion,Fire,Ghost,2.0,73,84,78,119,85,95,534,1.7,79.5,https://img.pokemondb.net/sprites/home/normal/2x/typhlosion.jpg
Ampharos,Electric,None,2.0,90,75,85,115,90,55,510,1.4,61.5,https://img.pokemondb.net/sprites/home/normal/2x/ampharos.jpg
Ampharos,Electric,Dragon,2.0,90,95,105,165,110,45,610,1.4,61.5,https://img.pokemondb.net/sprites/home/normal/2x/ampharos.jpg
Wooper,Water,Ground,2.0,55,45,45,25,25,15,210,0.4,8.5,https://img.pokemondb.net/sprites/home/normal/2x/wooper.jpg
Wooper,Poison,Ground,2.0,55,45,45,25,25,15,210,0.4,8.5,https://img.pokemondb.net/sprites/home/normal/2x/wooper.jpg
Slowking,Water,Psychic,2.0,95,75,80,100,110,30,490,2.0,79.5,https://img.pokemondb.net/sprites/home/normal/2x/slowking.jpg
Slowking,Poison,Psychic,2.0,95,65,80,110,110,30,490,2.0,79.5,https://img.pokemondb.net/sprites/home/normal/2x/slowking.jpg
Steelix,Steel,Ground,2.0,75,85,200,55,65,30,510,9.2,400.0,https://img.pokemondb.net/sprites/home/normal/2x/steelix.jpg
Steelix,Steel,Ground,2.0,75,125,230,55,95,30,610,9.2,400.0,https://img.pokemondb.net/sprites/home/normal/2x/steelix.jpg
Qwilfish,Water,Poison,2.0,65,95,85,55,55,85,440,0.5,3.9,https://img.pokemondb.net/sprites/home/normal/2x/qwilfish.jpg
Qwilfish,Dark,Poison,2.0,65,95,85,55,55,85,440,0.5,3.9,https://img.pokemondb.net/sprites/home/normal/2x/qwilfish.jpg
Scizor,Bug,Steel,2.0,70,130,100,55,80,65,500,1.8,118.0,https://img.pokemondb.net/sprites/home/normal/2x/scizor.jpg
Scizor,Bug,Steel,2.0,70,150,140,65,100,75,600,1.8,118.0,https://img.pokemondb.net/sprites/home/normal/2x/scizor.jpg
Heracross,Bug,Fighting,2.0,80,125,75,40,95,85,500,1.5,54.0,https://img.pokemondb.net/sprites/home/normal/2x/heracross.jpg
Heracross,Bug,Fighting,2.0,80,185,115,40,105,75,600,1.5,54.0,https://img.pokemondb.net/sprites/home/normal/2x/heracross.jpg
Sneasel,Dark,Ice,2.0,55,95,55,35,75,115,430,0.9,28.0,https://img.pokemondb.net/sprites/home/normal/2x/sneasel.jpg
Sneasel,Fighting,Poison,2.0,55,95,55,35,75,115,430,0.9,28.0,https://img.pokemondb.net/sprites/home/normal/2x/sneasel.jpg
Corsola,Water,Rock,2.0,65,55,95,65,95,35,410,0.6,5.0,https://img.pokemondb.net/sprites/home/normal/2x/corsola.jpg
Corsola,Ghost,None,2.0,60,55,100,65,100,30,410,0.6,5.0,https://img.pokemondb.net/sprites/home/normal/2x/corsola.jpg
Houndoom,Dark,Fire,2.0,75,90,50,110,80,95,500,1.4,35.0,https://img.pokemondb.net/sprites/home/normal/2x/houndoom.jpg
Houndoom,Dark,Fire,2.0,75,90,90,140,90,115,600,1.4,35.0,https://img.pokemondb.net/sprites/home/normal/2x/houndoom.jpg
Tyranitar,Rock,Dark,2.0,100,134,110,95,100,61,600,2.0,202.0,https://img.pokemondb.net/sprites/home/normal/2x/tyranitar.jpg
Tyranitar,Rock,Dark,2.0,100,164,150,95,120,71,700,2.0,202.0,https://img.pokemondb.net/sprites/home/normal/2x/tyranitar.jpg
Sceptile,Grass,None,3.0,70,85,65,105,85,120,530,1.7,52.2,https://img.pokemondb.net/sprites/home/normal/2x/sceptile.jpg
Sceptile,Grass,Dragon,3.0,70,110,75,145,85,145,630,1.7,52.2,https://img.pokemondb.net/sprites/home/normal/2x/sceptile.jpg
Blaziken,Fire,Fighting,3.0,80,120,70,110,70,80,530,1.9,52.0,https://img.pokemondb.net/sprites/home/normal/2x/blaziken.jpg
Blaziken,Fire,Fighting,3.0,80,160,80,130,80,100,630,1.9,52.0,https://img.pokemondb.net/sprites/home/normal/2x/blaziken.jpg
Swampert,Water,Ground,3.0,100,110,90,85,90,60,535,1.5,81.9,https://img.pokemondb.net/sprites/home/normal/2x/swampert.jpg
Swampert,Water,Ground,3.0,100,150,110,95,110,70,635,1.5,81.9,https://img.pokemondb.net/sprites/home/normal/2x/swampert.jpg
Zigzagoon,Normal,None,3.0,38,30,41,30,41,60,240,0.4,17.5,https://img.pokemondb.net/sprites/home/normal/2x/zigzagoon.jpg
Zigzagoon,Dark,Normal,3.0,38,30,41,30,41,60,240,0.4,17.5,https://img.pokemondb.net/sprites/home/normal/2x/zigzagoon.jpg
Linoone,Normal,None,3.0,78,70,61,50,61,100,420,0.5,32.5,https://img.pokemondb.net/sprites/home/normal/2x/linoone.jpg
Linoone,Dark,Normal,3.0,78,70,61,50,61,100,420,0.5,32.5,https://img.pokemondb.net/sprites/home/normal/2x/linoone.jpg
Gardevoir,Psychic,Fairy,3.0,68,65,65,125,115,80,518,1.6,48.4,https://img.pokemondb.net/sprites/home/normal/2x/gardevoir.jpg
Gardevoir,Psychic,Fairy,3.0,68,85,65,165,135,100,618,1.6,48.4,https://img.pokemondb.net/sprites/home/normal/2x/gardevoir.jpg
Sableye,Dark,Ghost,3.0,50,75,75,65,65,50,380,0.5,11.0,https://img.pokemondb.net/sprites/home/normal/2x/sableye.jpg
Sableye,Dark,Ghost,3.0,50,85,125,85,115,20,480,0.5,11.0,https://img.pokemondb.net/sprites/home/normal/2x/sableye.jpg
Mawile,Steel,Fairy,3.0,50,85,85,55,55,50,380,0.6,11.5,https://img.pokemondb.net/sprites/home/normal/2x/mawile.jpg
Mawile,Steel,Fairy,3.0,50,105,125,55,95,50,480,0.6,11.5,https://img.pokemondb.net/sprites/home/normal/2x/mawile.jpg
Aggron,Steel,Rock,3.0,70,110,180,60,60,50,530,2.1,360.0,https://img.pokemondb.net/sprites/home/normal/2x/aggron.jpg
Aggron,Steel,None,3.0,70,140,230,60,80,50,630,2.1,360.0,https://img.pokemondb.net/sprites/home/normal/2x/aggron.jpg
Medicham,Fighting,Psychic,3.0,60,60,75,60,75,80,410,1.3,31.5,https://img.pokemondb.net/sprites/home/normal/2x/medicham.jpg
Medicham,Fighting,Psychic,3.0,60,100,85,80,85,100,510,1.3,31.5,https://img.pokemondb.net/sprites/home/normal/2x/medicham.jpg
Manectric,Electric,None,3.0,70,75,60,105,60,105,475,1.5,40.2,https://img.pokemondb.net/sprites/home/normal/2x/manectric.jpg
Manectric,Electric,None,3.0,70,75,80,135,80,135,575,1.5,40.2,https://img.pokemondb.net/sprites/home/normal/2x/manectric.jpg
Sharpedo,Water,Dark,3.0,70,120,40,95,40,95,460,1.8,88.8,https://img.pokemondb.net/sprites/home/normal/2x/sharpedo.jpg
Sharpedo,Water,Dark,3.0,70,140,70,110,65,105,560,1.8,88.8,https://img.pokemondb.net/sprites/home/normal/2x/sharpedo.jpg
Camerupt,Fire,Ground,3.0,70,100,70,105,75,40,460,1.9,220.0,https://img.pokemondb.net/sprites/home/normal/2x/camerupt.jpg
Camerupt,Fire,Ground,3.0,70,120,100,145,105,20,560,1.9,220.0,https://img.pokemondb.net/sprites/home/normal/2x/camerupt.jpg
Altaria,Dragon,Flying,3.0,75,70,90,70,105,80,490,1.1,20.6,https://img.pokemondb.net/sprites/home/normal/2x/altaria.jpg
Altaria,Dragon,Fairy,3.0,75,110,110,110,105,80,590,1.1,20.6,https://img.pokemondb.net/sprites/home/normal/2x/altaria.jpg
Castform,Normal,None,3.0,70,70,70,70,70,70,420,0.3,0.8,https://img.pokemondb.net/sprites/home/normal/2x/castform.jpg
Castform,Fire,None,3.0,70,70,70,70,70,70,420,0.3,0.8,https://img.pokemondb.net/sprites/home/normal/2x/castform.jpg
Castform,Water,None,3.0,70,70,70,70,70,70,420,0.3,0.8,https://img.pokemondb.net/sprites/home/normal/2x/castform.jpg
Castform,Ice,None,3.0,70,70,70,70,70,70,420,0.3,0.8,https://img.pokemondb.net/sprites/home/normal/2x/castform.jpg
Banette,Ghost,None,3.0,64,115,65,83,63,65,455,1.1,12.5,https://img.pokemondb.net/sprites/home/normal/2x/banette.jpg
Banette,Ghost,None,3.0,64,165,75,93,83,75,555,1.1,12.5,https://img.pokemondb.net/sprites/home/normal/2x/banette.jpg
Absol,Dark,None,3.0,65,130,60,75,60,75,465,1.2,47.0,https://img.pokemondb.net/sprites/home/normal/2x/absol.jpg
Absol,Dark,None,3.0,65,150,60,115,60,115,565,1.2,47.0,https://img.pokemondb.net/sprites/home/normal/2x/absol.jpg
Glalie,Ice,None,3.0,80,80,80,80,80,80,480,1.5,256.5,https://img.pokemondb.net/sprites/home/normal/2x/glalie.jpg
Glalie,Ice,None,3.0,80,120,80,120,80,100,580,1.5,256.5,https://img.pokemondb.net/sprites/home/normal/2x/glalie.jpg
Salamence,Dragon,Flying,3.0,95,135,80,110,80,100,600,1.5,102.6,https://img.pokemondb.net/sprites/home/normal/2x/salamence.jpg
Salamence,Dragon,Flying,3.0,95,145,130,120,90,120,700,1.5,102.6,https://img.pokemondb.net/sprites/home/normal/2x/salamence.jpg
Metagross,Steel,Psychic,3.0,80,135,130,95,90,70,600,1.6,550.0,https://img.pokemondb.net/sprites/home/normal/2x/metagross.jpg
Metagross,Steel,Psychic,3.0,80,145,150,105,110,110,700,1.6,550.0,https://img.pokemondb.net/sprites/home/normal/2x/metagross.jpg
Latias,Dragon,Psychic,3.0,80,80,90,110,130,110,600,1.4,40.0,https://img.pokemondb.net/sprites/home/normal/2x/latias.jpg
Latias,Dragon,Psychic,3.0,80,100,120,140,150,110,700,1.4,40.0,https://img.pokemondb.net/sprites/home/normal/2x/latias.jpg
Latios,Dragon,Psychic,3.0,80,90,80,130,110,110,600,2.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/latios.jpg
Latios,Dragon,Psychic,3.0,80,130,100,160,120,110,700,2.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/latios.jpg
Kyogre,Water,None,3.0,100,100,90,150,140,90,670,4.5,352.0,https://img.pokemondb.net/sprites/home/normal/2x/kyogre.jpg
Kyogre,Water,None,3.0,100,150,90,180,160,90,770,4.5,352.0,https://img.pokemondb.net/sprites/home/normal/2x/kyogre.jpg
Groudon,Ground,None,3.0,100,150,140,100,90,90,670,3.5,950.0,https://img.pokemondb.net/sprites/home/normal/2x/groudon.jpg
Groudon,Ground,Fire,3.0,100,180,160,150,90,90,770,3.5,950.0,https://img.pokemondb.net/sprites/home/normal/2x/groudon.jpg
Rayquaza,Dragon,Flying,3.0,105,150,90,150,90,95,680,7.0,206.5,https://img.pokemondb.net/sprites/home/normal/2x/rayquaza.jpg
Rayquaza,Dragon,Flying,3.0,105,180,100,180,100,115,780,7.0,206.5,https://img.pokemondb.net/sprites/home/normal/2x/rayquaza.jpg
Deoxys,Psychic,None,3.0,50,150,50,150,50,150,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg
Deoxys,Psychic,None,3.0,50,180,20,180,20,150,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg
Deoxys,Psychic,None,3.0,50,70,160,70,160,90,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg
Deoxys,Psychic,None,3.0,50,95,90,95,90,180,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg
Burmy,Bug,None,4.0,40,29,45,29,45,36,224,0.2,3.4,https://img.pokemondb.net/sprites/home/normal/2x/burmy.jpg
Burmy,Bug,None,4.0,40,29,45,29,45,36,224,0.2,3.4,https://img.pokemondb.net/sprites/home/normal/2x/burmy.jpg
Burmy,Bug,None,4.0,40,29,45,29,45,36,224,0.2,3.4,https://img.pokemondb.net/sprites/home/normal/2x/burmy.jpg
Wormadam,Bug,Grass,4.0,60,59,85,79,105,36,424,0.5,6.5,https://img.pokemondb.net/sprites/home/normal/2x/wormadam.jpg
Wormadam,Bug,Ground,4.0,60,79,105,59,85,36,424,0.5,6.5,https://img.pokemondb.net/sprites/home/normal/2x/wormadam.jpg
Wormadam,Bug,Steel,4.0,60,69,95,69,95,36,424,0.5,6.5,https://img.pokemondb.net/sprites/home/normal/2x/wormadam.jpg
Lopunny,Normal,None,4.0,65,76,84,54,96,105,480,1.2,33.3,https://img.pokemondb.net/sprites/home/normal/2x/lopunny.jpg
Lopunny,Normal,Fighting,4.0,65,136,94,54,96,135,580,1.2,33.3,https://img.pokemondb.net/sprites/home/normal/2x/lopunny.jpg
Garchomp,Dragon,Ground,4.0,108,130,95,80,85,102,600,1.9,95.0,https://img.pokemondb.net/sprites/home/normal/2x/garchomp.jpg
Garchomp,Dragon,Ground,4.0,108,170,115,120,95,92,700,1.9,95.0,https://img.pokemondb.net/sprites/home/normal/2x/garchomp.jpg
Lucario,Fighting,Steel,4.0,70,110,70,115,70,90,525,1.2,54.0,https://img.pokemondb.net/sprites/home/normal/2x/lucario.jpg
Lucario,Fighting,Steel,4.0,70,145,88,140,70,112,625,1.2,54.0,https://img.pokemondb.net/sprites/home/normal/2x/lucario.jpg
