Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,Attack_Defense_Ratio,SpAtk_SpDef_Ratio,Speed_Avg_Ratio,Physical_Total,Special_Total,Offensive_Total,Defensive_Total,Stat_StdDev,Stat_Range,Highest_Stat_Percentage,Top_Two_Stat_Difference,Physical_Bulk,Special_Bulk,Survivability_Index,Offensive_Potential,BMI,Weight_Height_Ratio,Size_Class,Relative_Power,Type_Rarity,Speed_Tier
Elgyem,Psychic,,5.0,55,55,55,85,55,30,335,0.5,9.0,https://img.pokemondb.net/sprites/home/normal/2x/elgyem.jpg,1.0,1.5454545454545454,0.4918032786885246,165,140,140,110,17.440374613713626,55,0.2537313432835821,-30.0,3025,3025,54.999999999999986,51.955830342285715,36.0,18.0,Small,4.739365122668901,0.9338842975206612,Very Slow
Golduck,Water,,1.0,80,82,78,95,80,85,500,1.7,76.6,https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg,1.0512820512820513,1.1875,1.0240963855421688,240,175,177,158,6.186005711819758,17,0.19,-10.0,6240,6400,79.32769930723097,87.16031566869472,26.505190311418687,45.05882352941176,Medium,7.329344292842502,0.8728813559322034,Fast
Cleffa,Fairy,,2.0,50,25,28,45,55,15,218,0.3,3.0,https://img.pokemondb.net/sprites/home/normal/2x/cleffa.jpg,0.8928571428571429,0.8181818181818182,0.3694581280788177,103,100,70,83,15.895492023421818,40,0.25229357798165136,-5.0,1400,2750,42.543208651150046,25.64963920015045,33.333333333333336,10.0,Small,3.2225460445272365,0.975609756097561,Very Slow
Dialga,Steel,Dragon,4.0,100,120,120,150,100,90,680,5.4,683.0,https://img.pokemondb.net/sprites/home/normal/2x/dialga.jpg,1.0,1.5,0.7627118644067796,340,250,270,220,21.602468994692867,60,0.22058823529411764,-30.0,12000,10000,106.26585691826108,117.44602923506588,23.422496570644714,126.48148148148147,Large,9.208333333333332,0.989010989010989,Fast
Furfrou,Normal,,6.0,75,80,60,65,90,102,472,1.2,28.0,https://img.pokemondb.net/sprites/home/normal/2x/furfrou.jpg,1.3333333333333333,0.7222222222222222,1.3783783783783783,215,155,145,150,15.641824275533423,42,0.21610169491525424,-12.0,4500,6750,73.98636222991408,80.94707715018114,19.444444444444446,23.333333333333336,Medium,6.541926541926543,0.9666666666666667,Very Fast
Swablu,Normal,Flying,3.0,45,40,60,40,75,50,310,0.4,1.2,https://img.pokemondb.net/sprites/home/normal/2x/swablu.jpg,0.6666666666666666,0.5333333333333333,0.9615384615384616,145,115,80,135,13.662601021279466,35,0.24193548387096775,-15.0,2700,3375,58.72301461753294,43.088693800637664,7.499999999999998,2.9999999999999996,Small,4.556979096426163,0.9724770642201834,Slow
Skarmory,Steel,Flying,2.0,65,80,140,40,70,70,465,1.7,50.5,https://img.pokemondb.net/sprites/home/normal/2x/skarmory.jpg,0.5714285714285714,0.5714285714285714,0.8860759493670886,285,110,120,210,33.42902930089356,100,0.3010752688172043,-60.0,9100,4550,86.04252448951647,60.73177943751324,17.474048442906575,29.705882352941178,Medium,6.8737794069044265,0.9878048780487805,Average
Raging Bolt,Electric,Dragon,9.0,125,73,91,137,89,75,590,5.2,480.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/raging-bolt.png,0.8021978021978022,1.5393258426966292,0.7281553398058253,289,226,210,180,26.583202716502512,64,0.23220338983050848,-12.0,11375,11125,100.41081004009915,90.85905807498281,17.751479289940825,92.3076923076923,Large,7.689655986588907,0.9891304347826086,Average
Lurantis,Grass,,7.0,70,105,90,80,90,45,480,0.9,18.5,https://img.pokemondb.net/sprites/home/normal/2x/lurantis.jpg,1.1666666666666667,0.8888888888888888,0.5172413793103449,265,170,185,180,20.73644135332772,60,0.21875,-15.0,6300,6300,82.7677252914336,72.30426792525688,22.839506172839506,20.555555555555554,Small,6.424775277212781,0.9411764705882353,Slow
Archaludon,Steel,Dragon,9.0,90,105,130,125,65,85,600,2.0,60.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/archaludon.png,0.8076923076923077,1.9230769230769231,0.8252427184466019,325,190,230,195,24.899799195977465,65,0.21666666666666667,-5.0,11700,5850,91.27806105144288,103.71448438408876,15.0,30.0,Medium,7.819989138903973,0.9891304347826086,Fast
Spewpa,Bug,,6.0,45,22,60,27,30,29,213,0.3,8.4,https://img.pokemondb.net/sprites/home/normal/2x/spewpa.jpg,0.36666666666666664,0.9,0.7880434782608696,127,57,49,90,14.265342617687105,38,0.28169014084507044,-15.0,2700,1350,43.267487109222245,25.82625774541816,93.33333333333334,28.000000000000004,Small,2.9521829521829526,0.9833333333333333,Very Slow
Pincurchin,Electric,,8.0,48,101,95,91,85,15,435,0.3,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pincurchin.jpg,1.063157894736842,1.0705882352941176,0.17857142857142858,244,176,192,180,33.83341543503996,86,0.23218390804597702,-6.0,4560,4080,72.91125764865114,51.65963599557602,11.11111111111111,3.3333333333333335,Small,5.921086638141458,0.9493670886075949,Very Slow
Eternatus,Poison,Dragon,8.0,140,85,95,145,95,130,690,20.0,950.0,https://img.pokemondb.net/sprites/home/normal/2x/eternatus.jpg,0.8947368421052632,1.5263157894736843,1.1607142857142858,320,240,230,190,26.267851073127396,60,0.21014492753623187,-5.0,13300,13300,108.10814498872612,117.01550918179028,2.375,47.5,Large,9.392068460500242,0.9873417721518988,Very Fast
Dewpider,Water,Bug,7.0,38,40,52,40,72,27,269,0.3,4.0,https://img.pokemondb.net/sprites/home/normal/2x/dewpider.jpg,0.7692307692307693,0.5555555555555556,0.5578512396694215,130,112,80,124,15.497311594811103,45,0.26765799256505574,-20.0,1976,2736,52.204324299355456,35.088212858554385,44.44444444444444,13.333333333333334,Small,3.6005511449379957,0.9705882352941176,Very Slow
Floatzel,Water,,4.0,85,105,55,85,50,115,495,1.1,33.5,https://img.pokemondb.net/sprites/home/normal/2x/floatzel.jpg,1.9090909090909092,1.7,1.513157894736842,245,135,190,105,26.02883016964074,65,0.23232323232323232,-10.0,4675,4250,61.60044835789923,100.87154862901477,27.685950413223136,30.454545454545453,Medium,6.703124999999999,0.9230769230769231,Very Fast
Dubwool,Normal,,8.0,72,80,100,60,90,88,490,1.3,43.0,https://img.pokemondb.net/sprites/home/normal/2x/dubwool.jpg,0.8,0.6666666666666666,1.0945273631840795,252,150,140,190,14.22204861005146,40,0.20408163265306123,-10.0,7200,6480,86.53497421844448,75.03109821467612,25.44378698224852,33.07692307692307,Medium,6.669729776297274,0.9493670886075949,Fast
Gligar,Ground,Flying,2.0,65,75,105,35,65,85,430,1.1,64.8,https://img.pokemondb.net/sprites/home/normal/2x/gligar.jpg,0.7142857142857143,0.5384615384615384,1.2318840579710144,245,100,110,170,23.380903889000244,70,0.2441860465116279,-20.0,6825,4225,76.26735249612831,60.652598409735376,53.55371900826445,58.9090909090909,Medium,6.356398161223448,0.9878048780487805,Fast
Terrakion,Rock,Fighting,5.0,91,129,90,72,90,108,580,1.9,260.0,https://img.pokemondb.net/sprites/home/normal/2x/terrakion.jpg,1.4333333333333333,0.8,1.1440677966101693,310,162,201,180,19.510680835549195,57,0.22241379310344828,-21.0,8190,8190,90.33210633022732,100.10335979738221,72.02216066481995,136.8421052631579,Large,8.205467973576008,0.9917355371900827,Very Fast
Annihilape,Fighting,Ghost,9.0,110,115,80,50,90,90,535,1.2,56.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/annihilape.png,1.4375,0.5555555555555556,1.0112359550561798,305,140,165,170,23.327380192954944,65,0.21495327102803738,-5.0,8800,9900,92.52130018365482,80.28543868156201,38.88888888888889,46.66666666666667,Medium,6.972823648856043,0.9891304347826086,Fast
Iron Thorns,Rock,Electric,9.0,100,134,110,70,84,72,570,1.6,303.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-thorns.png,1.2181818181818183,0.8333333333333334,0.7228915662650602,344,154,204,194,24.68197723035981,64,0.23508771929824562,-24.0,11000,8400,97.39963373377917,87.73612413607559,118.35937499999997,189.375,Large,7.428989681958774,0.9891304347826086,Average
Whimsicott,Grass,Fairy,5.0,60,67,85,77,75,116,480,0.7,6.6,https://img.pokemondb.net/sprites/home/normal/2x/whimsicott.jpg,0.788235294117647,1.0266666666666666,1.5934065934065935,212,152,144,160,19.616319736382767,56,0.24166666666666667,-31.0,5100,4500,72.59005851623759,84.27029334433078,13.469387755102042,9.428571428571429,Small,6.7907321160629035,0.9834710743801653,Very Fast
Chikorita,Grass,,2.0,45,49,65,49,65,45,318,0.9,6.4,https://img.pokemondb.net/sprites/home/normal/2x/chikorita.jpg,0.7538461538461538,0.7538461538461538,0.8241758241758241,159,114,98,130,9.465727652959385,20,0.20440251572327045,0.0,2925,2925,57.50157525615112,47.62864481167356,7.901234567901234,7.111111111111112,Small,4.700778175044317,0.975609756097561,Slow
Parasect,Bug,Grass,1.0,60,95,80,60,80,30,405,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg,1.1875,0.75,0.4,235,140,155,160,22.74862633215465,65,0.2345679012345679,-15.0,4800,4800,72.68482371328557,55.50499102911546,29.5,29.5,Medium,5.936768877202426,0.9830508474576272,Very Slow
Bunnelby,Normal,,6.0,38,36,38,32,36,57,237,0.4,5.0,https://img.pokemondb.net/sprites/home/normal/2x/bunnelby.jpg,0.9473684210526315,0.8888888888888888,1.5833333333333333,112,68,68,74,8.848728722251575,25,0.24050632911392406,-19.0,1444,1368,37.32128295889665,40.34370488158755,31.249999999999993,12.5,Small,3.2848232848232852,0.9666666666666667,Slow
Swellow,Normal,Flying,3.0,60,85,60,75,50,125,455,0.7,19.8,https://img.pokemondb.net/sprites/home/normal/2x/swellow.jpg,1.4166666666666667,1.5,1.893939393939394,205,125,160,110,27.095510083160764,75,0.27472527472527475,-40.0,3600,3000,56.462161732861695,92.71074423165472,40.40816326530613,28.28571428571429,Small,6.688469318948078,0.9724770642201834,Very Fast
Blacephalon,Fire,Ghost,7.0,53,127,53,151,79,107,570,1.8,13.0,https://img.pokemondb.net/sprites/home/normal/2x/blacephalon.jpg,2.3962264150943398,1.9113924050632911,1.1555075593952484,233,230,278,132,40.21939830479815,98,0.2649122807017544,-24.0,2809,4187,60.542396801637125,127.07344832784642,4.012345679012346,7.222222222222222,Medium,7.629420641690177,0.9852941176470589,Very Fast
Mienshao,Fighting,,5.0,65,125,60,95,60,105,510,1.4,35.5,https://img.pokemondb.net/sprites/home/normal/2x/mienshao.jpg,2.0833333333333335,1.5833333333333333,1.2962962962962963,250,155,220,120,27.386127875258307,65,0.24509803921568626,-20.0,3900,3900,61.62240147749037,107.63189147867767,18.112244897959187,25.357142857142858,Medium,7.215152873316835,0.9669421487603306,Very Fast
Lillipup,Normal,,5.0,45,60,45,25,45,55,275,0.4,4.1,https://img.pokemondb.net/sprites/home/normal/2x/lillipup.jpg,1.3333333333333333,0.5555555555555556,1.25,150,70,85,90,12.006942436218585,35,0.21818181818181817,-5.0,2025,2025,44.99999999999999,43.53293845586805,25.624999999999993,10.249999999999998,Small,3.8905236081610384,0.9421487603305785,Slow
Bramblin,Grass,Ghost,9.0,40,65,30,45,35,60,275,0.6,0.6,https://img.pokemondb.net/sprites/scarlet-violet/normal/bramblin.png,2.1666666666666665,1.2857142857142858,1.3953488372093024,135,80,110,65,13.934369977385655,35,0.23636363636363636,-5.0,1200,1400,34.76026644886449,55.98766735225871,1.6666666666666667,1.0,Small,3.584161688664321,0.9565217391304348,Average
Meltan,Steel,,7.0,46,65,65,55,35,34,300,0.2,8.0,https://img.pokemondb.net/sprites/home/normal/2x/meltan.jpg,1.0,1.5714285714285714,0.6390977443609023,176,90,120,100,13.942740046346701,31,0.21666666666666667,0.0,2990,1610,47.12446262992832,49.5357018906481,199.99999999999997,40.0,Small,4.015484548257988,0.9705882352941176,Very Slow
Shiftry,Grass,Dark,3.0,90,100,60,90,60,80,480,1.3,59.6,https://img.pokemondb.net/sprites/home/normal/2x/shiftry.jpg,1.6666666666666667,1.5,1.0,250,150,190,120,16.73320053068151,40,0.20833333333333334,-10.0,5400,5400,68.6828545531999,89.62809493114327,35.26627218934911,45.84615384615385,Medium,7.055967633175995,0.981651376146789,Fast
Grookey,Grass,,8.0,50,65,50,40,40,65,310,0.3,5.0,https://img.pokemondb.net/sprites/home/normal/2x/grookey.jpg,1.3,1.0,1.3265306122448979,165,80,105,90,11.254628677422755,25,0.20967741935483872,0.0,2500,2000,46.41588833612778,55.28774813678871,55.55555555555556,16.666666666666668,Small,4.219624960514602,0.9367088607594937,Average
Bastiodon,Rock,Steel,4.0,60,52,168,47,138,30,495,1.3,149.5,https://img.pokemondb.net/sprites/home/normal/2x/bastiodon.jpg,0.30952380952380953,0.34057971014492755,0.3225806451612903,280,185,99,306,56.29120712864488,138,0.3393939393939394,-30.0,10080,8280,111.62972962140272,41.85437091874223,88.46153846153845,115.0,Large,6.703124999999999,0.967032967032967,Very Slow
Komala,Normal,,7.0,65,115,65,75,95,65,480,0.4,19.9,https://img.pokemondb.net/sprites/home/normal/2x/komala.jpg,1.7692307692307692,0.7894736842105263,0.7831325301204819,245,170,190,160,20.73644135332772,50,0.23958333333333334,-20.0,4225,6175,73.7649591411653,82.4563589205275,124.37499999999997,49.74999999999999,Small,6.424775277212781,0.9264705882352942,Average
Cloyster,Water,Ice,1.0,50,95,180,85,45,70,525,1.5,132.5,https://img.pokemondb.net/sprites/home/normal/2x/cloyster.jpg,0.5277777777777778,1.8888888888888888,0.7692307692307693,325,130,180,225,49.26966612430005,135,0.34285714285714286,-85.0,9000,2250,73.98636222991408,82.68248555523864,58.888888888888886,88.33333333333333,Large,7.695811507484627,0.9830508474576272,Average
Dartrix,Grass,Flying,7.0,78,75,75,70,70,52,420,0.7,16.0,https://img.pokemondb.net/sprites/home/normal/2x/dartrix.jpg,1.0,1.0,0.7065217391304348,228,140,145,145,9.359487165438072,26,0.18571428571428572,-3.0,5850,5460,74.25937711043684,64.87154116716349,32.653061224489804,22.857142857142858,Small,5.621678367561183,0.9705882352941176,Slow
Grumpig,Psychic,,3.0,80,45,65,90,110,80,470,0.9,71.5,https://img.pokemondb.net/sprites/home/normal/2x/grumpig.jpg,0.6923076923076923,0.8181818181818182,1.0256410256410255,190,200,135,175,22.06052281036573,65,0.23404255319148937,-20.0,5200,8800,83.01030500589403,68.6828545531999,88.2716049382716,79.44444444444444,Medium,6.9089683074848285,0.9541284403669725,Fast
Shellos,Water,,4.0,76,48,48,57,62,34,325,0.3,6.3,https://img.pokemondb.net/sprites/home/normal/2x/shellos.jpg,1.0,0.9193548387096774,0.5841924398625429,172,119,105,110,14.34456923949502,42,0.23384615384615384,-14.0,3648,4712,60.92780134930405,45.31044596317315,70.0,21.0,Small,4.401041666666666,0.9230769230769231,Very Slow
Zamazenta,Fighting,,8.0,92,120,115,80,115,138,660,2.9,210.0,https://img.pokemondb.net/sprites/home/normal/2x/zamazenta.jpg,1.0434782608695652,0.6956521739130435,1.32183908045977,327,195,200,230,20.774984957876626,58,0.20909090909090908,-18.0,10580,10580,106.75654317309389,109.82893521108632,24.970273483947683,72.41379310344828,Large,8.983717657869798,0.9493670886075949,Very Fast
Kricketot,Bug,,4.0,37,25,41,25,41,25,194,0.3,2.2,https://img.pokemondb.net/sprites/home/normal/2x/kricketot.jpg,0.6097560975609756,0.6097560975609756,0.7396449704142013,103,66,50,82,8.16496580927726,16,0.211340206185567,0.0,1517,1517,39.62079138097459,24.999999999999996,24.444444444444446,7.333333333333334,Small,2.627083333333333,0.967032967032967,Very Slow
Machoke,Fighting,,1.0,80,100,70,50,60,45,405,1.5,70.5,https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg,1.4285714285714286,0.8333333333333334,0.625,250,110,150,130,20.43281674170255,55,0.24691358024691357,-20.0,5600,4800,69.52053289772898,60.822019955733985,31.333333333333332,47.0,Medium,5.936768877202426,0.9576271186440678,Slow
Chatot,Normal,Flying,4.0,76,65,45,92,42,91,411,0.5,1.9,https://img.pokemondb.net/sprites/home/normal/2x/chatot.jpg,1.4444444444444444,2.1904761904761907,1.421875,186,134,157,87,21.824298385056963,50,0.22384428223844283,-1.0,3420,3192,52.371112411116236,81.64210469643982,7.6,3.8,Small,5.565625,0.9560439560439561,Fast
Thwackey,Grass,,8.0,70,85,70,55,60,80,420,0.7,14.0,https://img.pokemondb.net/sprites/home/normal/2x/thwackey.jpg,1.2142857142857142,0.9166666666666666,1.1764705882352942,225,115,140,130,11.40175425099138,30,0.20238095238095238,-5.0,4900,4200,66.49399761150974,72.04832147214519,28.571428571428577,20.0,Small,5.716911236826235,0.9367088607594937,Fast
Yamask,Ghost,,5.0,38,30,85,55,65,30,303,0.5,1.5,https://img.pokemondb.net/sprites/home/normal/2x/yamask.jpg,0.35294117647058826,0.8461538461538461,0.5494505494505494,153,120,85,150,21.988633427296023,55,0.28052805280528054,-20.0,3230,2470,59.43450175480985,36.71710231024981,6.0,3.0,Small,4.286649648264707,0.9834710743801653,Very Slow
Tropius,Grass,Flying,3.0,99,68,83,72,87,51,460,2.0,100.0,https://img.pokemondb.net/sprites/home/normal/2x/tropius.jpg,0.8192771084337349,0.8275862068965517,0.6234718826405868,250,159,140,170,16.741166825125024,48,0.21521739130434783,-12.0,8217,8613,89.41509586979423,62.97050773785803,25.0,50.0,Medium,6.761968981793662,0.9908256880733946,Slow
Houndstone,Ghost,,9.0,72,101,100,50,97,68,488,2.0,15.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/houndstone.png,1.01,0.5154639175257731,0.8095238095238095,273,147,151,197,21.106081272151556,51,0.2069672131147541,-1.0,7200,6984,88.72269873727824,70.02720031359816,3.75,7.5,Medium,6.360257832975231,0.967391304347826,Average
Ninetales,Fire,,1.0,73,76,75,81,100,100,505,1.1,19.9,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg,1.0133333333333334,0.81,1.2345679012345678,224,181,157,175,12.544587146122694,27,0.19801980198019803,0.0,5475,7300,81.80779890690782,85.06799634106144,16.446280991735534,18.090909090909086,Medium,7.402637735770926,0.9152542372881356,Very Fast
Larvesta,Bug,Fire,5.0,55,85,55,50,55,60,360,1.1,28.8,https://img.pokemondb.net/sprites/home/normal/2x/larvesta.jpg,1.5454545454545454,0.9090909090909091,1.0,195,105,135,110,12.649110640673518,35,0.2361111111111111,-25.0,3025,3025,54.999999999999986,63.41325705384996,23.80165289256198,26.18181818181818,Medium,5.093049087047177,0.9834710743801653,Average
Typhlosion,Fire,,2.0,78,84,78,109,85,100,534,1.7,79.5,https://img.pokemondb.net/sprites/home/normal/2x/typhlosion.jpg,1.0769230769230769,1.2823529411764707,1.1520737327188941,240,194,193,163,12.680693987317888,31,0.20411985018726592,-9.0,6084,6630,80.26681744960997,97.10358438865008,27.508650519031146,46.76470588235294,Medium,7.893759576961212,0.9390243902439024,Very Fast
Cutiefly,Bug,Fairy,7.0,40,45,40,55,40,84,304,0.1,0.2,https://img.pokemondb.net/sprites/home/normal/2x/cutiefly.jpg,1.125,1.375,1.9090909090909092,125,95,100,80,17.339742404853272,44,0.27631578947368424,-29.0,1600,1600,39.99999999999999,59.24042466637099,19.999999999999996,2.0,Small,4.069024342234761,0.9705882352941176,Fast
Staravia,Normal,Flying,4.0,55,75,50,40,40,80,340,0.6,15.5,https://img.pokemondb.net/sprites/home/normal/2x/staravia.jpg,1.5,1.0,1.5384615384615385,180,80,115,90,17.224014243685083,40,0.23529411764705882,-5.0,2750,2200,47.91419857062783,62.14465011907716,43.05555555555556,25.833333333333336,Small,4.604166666666666,0.9560439560439561,Fast
Dipplin,Grass,Dragon,9.0,80,80,110,95,80,40,485,0.4,4.4,https://img.pokemondb.net/sprites/scarlet-violet/normal/dipplin.png,0.7272727272727273,1.1875,0.449438202247191,270,175,175,190,23.327380192954944,70,0.2268041237113402,-15.0,8800,6400,88.9592036227726,67.23950813597925,27.499999999999996,11.0,Small,6.3211578872807115,0.9782608695652174,Slow
Venipede,Bug,Poison,5.0,30,45,59,30,39,57,260,0.4,5.3,https://img.pokemondb.net/sprites/home/normal/2x/venipede.jpg,0.7627118644067796,0.7692307692307693,1.4039408866995073,134,69,75,98,12.722683155162935,29,0.22692307692307692,-2.0,1770,1170,41.02160273418781,42.53399817053072,33.12499999999999,13.249999999999998,Small,3.678313229534073,0.9752066115702479,Slow
Glameow,Normal,,4.0,49,55,42,42,37,85,310,0.5,3.9,https://img.pokemondb.net/sprites/home/normal/2x/glameow.jpg,1.3095238095238095,1.135135135135135,1.8888888888888888,146,79,97,79,17.500476183997584,48,0.27419354838709675,-30.0,2058,1813,42.38534262557772,58.12241288057214,15.6,7.8,Small,4.197916666666666,0.9120879120879121,Fast
Duskull,Ghost,,3.0,20,40,90,30,90,25,295,0.8,15.0,https://img.pokemondb.net/sprites/home/normal/2x/duskull.jpg,0.4444444444444444,0.3333333333333333,0.46296296296296297,150,120,70,180,32.313567841800854,70,0.3050847457627119,0.0,1800,1800,54.513617784964175,31.07232505953858,23.437499999999996,18.75,Small,4.336480107889414,0.963302752293578,Very Slow
Mantyke,Water,Flying,4.0,45,20,50,60,120,50,345,1.0,65.0,https://img.pokemondb.net/sprites/home/normal/2x/mantyke.jpg,0.4,0.5,0.847457627118644,115,180,80,170,33.42902930089356,100,0.34782608695652173,-60.0,2250,5400,64.6330407009565,39.148676411688626,65.0,65.0,Medium,4.671874999999999,0.989010989010989,Slow
Swinub,Ice,Ground,2.0,50,50,40,30,30,50,250,0.4,6.5,https://img.pokemondb.net/sprites/home/normal/2x/swinub.jpg,1.25,1.0,1.25,140,60,80,70,9.83192080250175,20,0.2,0.0,2000,1500,39.148676411688626,42.17163326508745,40.62499999999999,16.25,Small,3.6955803262927023,0.975609756097561,Slow
Gimmighoul,Ghost,,9.0,45,30,70,75,70,10,300,0.3,5.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/gimmighoul.png,0.42857142857142855,1.0714285714285714,0.1724137931034483,145,145,105,140,26.267851073127396,65,0.25,-5.0,3150,3150,60.413806179802734,28.23108086643085,55.55555555555556,16.666666666666668,Small,3.9099945694519866,0.967391304347826,Very Slow
Oddish,Grass,Poison,1.0,45,50,55,75,65,30,320,0.5,5.4,https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg,0.9090909090909091,1.1538461538461537,0.5172413793103449,150,140,125,120,15.705625319186328,45,0.234375,-10.0,2475,2925,54.38713561871312,48.274469230281476,21.6,10.8,Small,4.690780347419201,0.9322033898305084,Very Slow
Grafaiai,Poison,Normal,9.0,63,95,65,80,72,110,485,0.7,27.2,https://img.pokemondb.net/sprites/scarlet-violet/normal/grafaiai.png,1.4615384615384615,1.1111111111111112,1.4666666666666666,223,152,175,137,18.43276069032164,47,0.2268041237113402,-15.0,4095,4536,66.55726501181802,94.20387318546838,55.51020408163266,38.85714285714286,Medium,6.3211578872807115,0.9782608695652174,Very Fast
Purrloin,Dark,,5.0,41,50,37,50,37,66,281,0.4,10.1,https://img.pokemondb.net/sprites/home/normal/2x/purrloin.jpg,1.3513513513513513,1.3513513513513513,1.5348837209302326,128,87,100,74,11.089033621856625,29,0.23487544483985764,-16.0,1517,1517,38.28797828426123,54.848065524326174,63.124999999999986,25.249999999999996,Small,3.9754077596118247,0.9669421487603306,Average
