Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,RGB_Mean,RGB_Std,RGB_Max,RGB_Min,LBP_Mean,LBP_Std,LBP_Max,LBP_Min,CNN_Mean,CNN_Std,CNN_Max,CNN_Min
Elgyem,Psychic,,5.0,55,55,55,85,55,30,335,0.5,9.0,https://img.pokemondb.net/sprites/home/normal/2x/elgyem.jpg,0.001953125,0.034451745,0.7778168,0.0,0.1111111111054306,0.11445448867480489,0.3629856850530171,0.01073619631846952,1.664046,3.6525488,45.025715,0.0
Golduck,Water,,1.0,80,82,78,95,80,85,500,1.7,76.6,https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg,0.001953125,0.032793205,0.739563,0.0,0.11111111110524771,0.10469349369553217,0.3087071239942635,0.007387862796443912,1.4468156,3.2690983,32.439003,0.0
Cleffa,Fairy,,2.0,50,25,28,45,55,15,218,0.3,3.0,https://img.pokemondb.net/sprites/home/normal/2x/cleffa.jpg,0.001953125,0.02808038,0.62031555,0.0,0.11111111110691192,0.14140020827676636,0.46258503399612305,0.006046863189491805,1.5997565,3.274672,37.231262,0.0
Dialga,Steel,Dragon,4.0,100,120,120,150,100,90,680,5.4,683.0,https://img.pokemondb.net/sprites/home/normal/2x/dialga.jpg,0.001953125,0.031077882,0.7011261,0.0,0.11111111110790907,0.10483165175778532,0.31815561958737304,0.015273775215698162,1.5621912,3.1287198,33.42018,0.0
Furfrou,Normal,,6.0,75,80,60,65,90,102,472,1.2,28.0,https://img.pokemondb.net/sprites/home/normal/2x/furfrou.jpg,0.001953125,0.03463404,0.7792206,0.0,0.11111111110570687,0.11467490225092411,0.38180933850283033,0.009241245135737295,1.1836417,2.5242517,27.545835,0.0
Swablu,Normal,Flying,3.0,45,40,60,40,75,50,310,0.4,1.2,https://img.pokemondb.net/sprites/home/normal/2x/swablu.jpg,0.001953125,0.0389393,0.8811188,0.0,0.11111111110291103,0.1178591142168341,0.3402214021889135,0.005166051660135346,1.2026279,2.9485948,33.612316,0.0
Skarmory,Steel,Flying,2.0,65,80,140,40,70,70,465,1.7,50.5,https://img.pokemondb.net/sprites/home/normal/2x/skarmory.jpg,0.001953125,0.035403326,0.80007935,0.0,0.11111111110519464,0.09825976574078993,0.2795527156400664,0.012779552714974465,1.3734664,2.9846373,32.11101,0.0
Raging Bolt,Electric,Dragon,9.0,125,73,91,137,89,75,590,5.2,480.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/raging-bolt.png,0.001953125,0.037664093,0.85276794,0.0,0.11111111109550562,0.11775148600547371,0.37499999994733146,0.005617977527300846,1.5669059,2.9818354,28.554302,0.0
Lurantis,Grass,,7.0,70,105,90,80,90,45,480,0.9,18.5,https://img.pokemondb.net/sprites/home/normal/2x/lurantis.jpg,0.001953125,0.03485048,0.7877197,0.0,0.11111111110553323,0.11256329135487968,0.32379518070663676,0.006526104417343067,1.194027,2.8000565,31.997564,0.0
Archaludon,Steel,Dragon,9.0,90,105,130,125,65,85,600,2.0,60.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/archaludon.png,0.001953125,0.033608846,0.75753784,0.0,0.11111111110044784,0.12072377018354269,0.33973128595587987,0.002879078694541355,1.899133,3.212997,23.52517,0.0
Spewpa,Bug,,6.0,45,22,60,27,30,29,213,0.3,8.4,https://img.pokemondb.net/sprites/home/normal/2x/spewpa.jpg,0.001953125,0.03361499,0.7575226,0.0,0.11111111110666667,0.1095907178146852,0.31119999998755205,0.013199999999472,1.4102013,2.827607,26.018059,0.0
Pincurchin,Electric,,8.0,48,101,95,91,85,15,435,0.3,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pincurchin.jpg,0.001953125,0.036005836,0.8128357,0.0,0.11111111110483364,0.10583033393806665,0.29548022597200674,0.01242937853037122,1.3098071,3.3555694,47.621674,0.0
Eternatus,Poison,Dragon,8.0,140,85,95,145,95,130,690,20.0,950.0,https://img.pokemondb.net/sprites/home/normal/2x/eternatus.jpg,0.001953125,0.035111446,0.7930145,0.0,0.11111111110773697,0.12345913289460483,0.4172487093708701,0.012754327360681618,1.1309689,3.0782163,37.166695,0.0
Dewpider,Water,Bug,7.0,38,40,52,40,72,27,269,0.3,4.0,https://img.pokemondb.net/sprites/home/normal/2x/dewpider.jpg,0.001953125,0.033653874,0.7610321,0.0,0.11111111110616625,0.11007528852926432,0.3386737872568459,0.010235870048498626,1.0973172,2.7900457,34.01191,0.0
Floatzel,Water,,4.0,85,105,55,85,50,115,495,1.1,33.5,https://img.pokemondb.net/sprites/home/normal/2x/floatzel.jpg,0.001953125,0.031789366,0.71606445,0.0,0.11111111110583519,0.1034849663601012,0.3024691357881069,0.016144349476916224,1.9703941,4.0510135,39.060658,0.0
Dubwool,Normal,,8.0,72,80,100,60,90,88,490,1.3,43.0,https://img.pokemondb.net/sprites/home/normal/2x/dubwool.jpg,0.001953125,0.03119851,0.70077515,0.0,0.11111111110734591,0.1138214275609672,0.3287021348583971,0.009488309047458886,1.6813498,3.0338128,33.663113,0.0
Gligar,Ground,Flying,2.0,65,75,105,35,65,85,430,1.1,64.8,https://img.pokemondb.net/sprites/home/normal/2x/gligar.jpg,0.001953125,0.02703444,0.5997162,0.0,0.1111111111072691,0.12100968108641891,0.3841632088387219,0.007261410788130657,1.758172,3.9150298,35.70715,0.0
Terrakion,Rock,Fighting,5.0,91,129,90,72,90,108,580,1.9,260.0,https://img.pokemondb.net/sprites/home/normal/2x/terrakion.jpg,0.001953125,0.02259904,0.49919128,0.0,0.11111111110802983,0.10840718316226493,0.3042151968856291,0.010815307819999577,1.9800106,3.3578675,32.469635,0.0
Annihilape,Fighting,Ghost,9.0,110,115,80,50,90,90,535,1.2,56.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/annihilape.png,0.001953125,0.032633547,0.7318268,0.0,0.11111111110173463,0.14419820504977943,0.4776371307613808,0.009282700421157577,1.3152547,3.3250878,38.596527,0.0
Iron Thorns,Rock,Electric,9.0,100,134,110,70,84,72,570,1.6,303.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-thorns.png,0.001953125,0.032600936,0.7353668,0.0,0.11111111110156548,0.13612795297982228,0.44329896903408084,0.0060137457039507085,1.5014043,2.6723557,26.172232,0.0
Whimsicott,Grass,Fairy,5.0,60,67,85,77,75,116,480,0.7,6.6,https://img.pokemondb.net/sprites/home/normal/2x/whimsicott.jpg,0.001953125,0.02320137,0.47610474,0.0,0.1111111111069852,0.12870187595509974,0.407352395083277,0.005198663200698156,1.5156426,3.4147835,34.166798,0.0
Chikorita,Grass,,2.0,45,49,65,49,65,45,318,0.9,6.4,https://img.pokemondb.net/sprites/home/normal/2x/chikorita.jpg,0.001953125,0.03548711,0.8009949,0.0,0.11111111110380117,0.11626052361625935,0.3138157894530384,0.007894736841585872,1.0120366,2.6456091,37.371517,0.0
Parasect,Bug,Grass,1.0,60,95,80,60,80,30,405,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg,0.001953125,0.028457787,0.6372223,0.0,0.11111111110710423,0.10850062385731843,0.3299675441640834,0.007573025603765849,2.419511,3.9926236,34.153847,0.0
Bunnelby,Normal,,6.0,38,36,38,32,36,57,237,0.4,5.0,https://img.pokemondb.net/sprites/home/normal/2x/bunnelby.jpg,0.001953125,0.036280062,0.82025146,0.0,0.11111111110460196,0.10464847535013805,0.29818394843010054,0.011716461627901789,1.1459763,2.9028082,37.419235,0.0
Swellow,Normal,Flying,3.0,60,85,60,75,50,125,455,0.7,19.8,https://img.pokemondb.net/sprites/home/normal/2x/swellow.jpg,0.001953125,0.033287518,0.7513275,0.0,0.11111111110705449,0.11128286308703968,0.34355604233868,0.011317999269393282,2.083345,3.9473584,35.051674,0.0
Blacephalon,Fire,Ghost,7.0,53,127,53,151,79,107,570,1.8,13.0,https://img.pokemondb.net/sprites/home/normal/2x/blacephalon.jpg,0.001953125,0.03749723,0.84854126,0.0,0.11111111110650262,0.10441270755021942,0.32268768144659116,0.007880547490340915,1.8991244,4.0039353,40.58976,0.0
Mienshao,Fighting,,5.0,65,125,60,95,60,105,510,1.4,35.5,https://img.pokemondb.net/sprites/home/normal/2x/mienshao.jpg,0.001953125,0.03618029,0.81755066,0.0,0.11111111110569634,0.11256477770005378,0.3538011695734015,0.010233918128156242,1.3912392,2.874325,32.868496,0.0
Lillipup,Normal,,5.0,45,60,45,25,45,55,275,0.4,4.1,https://img.pokemondb.net/sprites/home/normal/2x/lillipup.jpg,0.001953125,0.031400297,0.70243835,0.0,0.11111111110609481,0.11029206554081143,0.32054176070787627,0.009029345372052851,1.7086362,3.5662317,35.143974,0.0
Bramblin,Grass,Ghost,9.0,40,65,30,45,35,60,275,0.6,0.6,https://img.pokemondb.net/sprites/scarlet-violet/normal/bramblin.png,0.001953125,0.040897623,0.9262543,0.0,0.11111111108726751,0.13578330874568081,0.4442060084883678,0.012875536477923704,0.52234775,1.8349236,26.247543,0.0
Meltan,Steel,,7.0,46,65,65,55,35,34,300,0.2,8.0,https://img.pokemondb.net/sprites/home/normal/2x/meltan.jpg,0.001953125,0.033866957,0.7629242,0.0,0.11111111110510835,0.10952915943273452,0.3144246353152661,0.010804970285747974,1.5972323,3.4772427,40.332344,0.0
Shiftry,Grass,Dark,3.0,90,100,60,90,60,80,480,1.3,59.6,https://img.pokemondb.net/sprites/home/normal/2x/shiftry.jpg,0.001953125,0.031779595,0.7175598,0.0,0.11111111110721522,0.10329120147245184,0.3141654978851976,0.01227208976114053,1.8361207,3.3210497,33.929604,0.0
Grookey,Grass,,8.0,50,65,50,40,40,65,310,0.3,5.0,https://img.pokemondb.net/sprites/home/normal/2x/grookey.jpg,0.001953125,0.03295742,0.7451172,0.0,0.11111111110659073,0.10863132220071818,0.3201790073100009,0.009357200976022897,1.5836341,3.9343102,45.366417,0.0
Bastiodon,Rock,Steel,4.0,60,52,168,47,138,30,495,1.3,149.5,https://img.pokemondb.net/sprites/home/normal/2x/bastiodon.jpg,0.001953125,0.027534675,0.6028137,0.0,0.1111111111069698,0.10645254801803945,0.33283637717730763,0.010063361907936514,1.6426141,2.8753648,28.533287,0.0
Komala,Normal,,7.0,65,115,65,75,95,65,480,0.4,19.9,https://img.pokemondb.net/sprites/home/normal/2x/komala.jpg,0.001953125,0.03050972,0.685318,0.0,0.11111111110650262,0.1105869688707122,0.32185815013181845,0.009124844462500007,1.5511065,3.2615798,37.519764,0.0
Cloyster,Water,Ice,1.0,50,95,180,85,45,70,525,1.5,132.5,https://img.pokemondb.net/sprites/home/normal/2x/cloyster.jpg,0.001953125,0.027751027,0.6173706,0.0,0.11111111110774717,0.10784239706089158,0.31335149862811534,0.013623978201222405,1.6764271,3.9380813,34.265305,0.0
Dartrix,Grass,Flying,7.0,78,75,75,70,70,52,420,0.7,16.0,https://img.pokemondb.net/sprites/home/normal/2x/dartrix.jpg,0.001953125,0.031612076,0.712265,0.0,0.11111111110788582,0.10860872592869214,0.30653120463551436,0.013352685050410663,1.4475437,3.140607,36.775284,0.0
Grumpig,Psychic,,3.0,80,45,65,90,110,80,470,0.9,71.5,https://img.pokemondb.net/sprites/home/normal/2x/grumpig.jpg,0.001953125,0.029347923,0.6555786,0.0,0.11111111110711287,0.10854776743148538,0.2939906441060097,0.010435408419919561,1.7998065,3.4134088,36.15012,0.0
Shellos,Water,,4.0,76,48,48,57,62,34,325,0.3,6.3,https://img.pokemondb.net/sprites/home/normal/2x/shellos.jpg,0.001953125,0.035127297,0.79348755,0.0,0.11111111110416666,0.10718452488632463,0.3068749999808203,0.012499999999218749,1.2512125,3.0577705,34.766808,0.0
Zamazenta,Fighting,,8.0,92,120,115,80,115,138,660,2.9,210.0,https://img.pokemondb.net/sprites/home/normal/2x/zamazenta.jpg,0.001953125,0.025771294,0.5764313,0.0,0.1111111111084675,0.11230841050627194,0.35189150605872255,0.013323816321357988,1.4944888,3.4357238,33.642414,0.0
Kricketot,Bug,,4.0,37,25,41,25,41,25,194,0.3,2.2,https://img.pokemondb.net/sprites/home/normal/2x/kricketot.jpg,0.001953125,0.03354991,0.7577667,0.0,0.1111111111055444,0.10448845656014197,0.3256513025888952,0.008517034067709567,1.3758055,3.4308138,42.823456,0.0
Machoke,Fighting,,1.0,80,100,70,50,60,45,405,1.5,70.5,https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg,0.001953125,0.029074838,0.646286,0.0,0.11111111110672284,0.10703932630319574,0.3025276461175937,0.011058451816308908,1.9957588,4.0427485,42.841145,0.0
Chatot,Normal,Flying,4.0,76,65,45,92,42,91,411,0.5,1.9,https://img.pokemondb.net/sprites/home/normal/2x/chatot.jpg,0.001953125,0.034202736,0.772995,0.0,0.11111111110583519,0.10938116247800223,0.3219373219220353,0.00997150997103649,1.3511744,3.0735338,34.376396,0.0
Thwackey,Grass,,8.0,70,85,70,55,60,80,420,0.7,14.0,https://img.pokemondb.net/sprites/home/normal/2x/thwackey.jpg,0.001953125,0.033114184,0.748291,0.0,0.11111111110515659,0.11457719709158061,0.3713826366360459,0.008574490889143917,2.0093303,3.7289855,40.369755,0.0
Yamask,Ghost,,5.0,38,30,85,55,65,30,303,0.5,1.5,https://img.pokemondb.net/sprites/home/normal/2x/yamask.jpg,0.001953125,0.036375377,0.821228,0.0,0.11111111110474371,0.10777582119828141,0.32034383952318946,0.008022922635643385,1.5795028,3.738541,43.614403,0.0
Tropius,Grass,Flying,3.0,99,68,83,72,87,51,460,2.0,100.0,https://img.pokemondb.net/sprites/home/normal/2x/tropius.jpg,0.001953125,0.022132738,0.47195435,0.0,0.1111111111080926,0.10654676604255213,0.323553382224299,0.01195327356664077,1.4133825,3.134399,43.154568,0.0
Houndstone,Ghost,,9.0,72,101,100,50,97,68,488,2.0,15.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/houndstone.png,0.001953125,0.03726745,0.84135437,0.0,0.11111111109611636,0.1383615080680329,0.46693657213671574,0.006747638325675083,1.1039655,2.4675205,25.697721,0.0
Ninetales,Fire,,1.0,73,76,75,81,100,100,505,1.1,19.9,https://img.pokemondb.net/sprites/home/normal/2x/ninetales.jpg,0.001953125,0.025078028,0.5235138,0.0,0.11111111110685562,0.11749446164146292,0.3715051704185559,0.0065109153578509806,1.3877395,3.2324429,33.76898,0.0
Larvesta,Bug,Fire,5.0,55,85,55,50,55,60,360,1.1,28.8,https://img.pokemondb.net/sprites/home/normal/2x/larvesta.jpg,0.001953125,0.03409246,0.7693634,0.0,0.11111111110758715,0.1107343183064788,0.3317475420129481,0.01046622264476796,1.5813334,3.3048236,31.766258,0.0
Typhlosion,Fire,,2.0,78,84,78,109,85,100,534,1.7,79.5,https://img.pokemondb.net/sprites/home/normal/2x/typhlosion.jpg,0.001953125,0.03135939,0.7000885,0.0,0.11111111110647957,0.11453246245307516,0.3188828678483167,0.008753647352698889,1.44764,3.3938038,28.876877,0.0
Cutiefly,Bug,Fairy,7.0,40,45,40,55,40,84,304,0.1,0.2,https://img.pokemondb.net/sprites/home/normal/2x/cutiefly.jpg,0.001953125,0.035678394,0.8049469,0.0,0.11111111110463232,0.1044790327384498,0.3061224489617421,0.009912536442570697,1.6617092,3.2701166,37.46679,0.0
Staravia,Normal,Flying,4.0,55,75,50,40,40,80,340,0.6,15.5,https://img.pokemondb.net/sprites/home/normal/2x/staravia.jpg,0.001953125,0.03402931,0.76338196,0.0,0.11111111110650643,0.10779916837089874,0.32822213011486856,0.009946125154996016,1.6693463,3.602631,38.049824,0.0
Dipplin,Grass,Dragon,9.0,80,80,110,95,80,40,485,0.4,4.4,https://img.pokemondb.net/sprites/scarlet-violet/normal/dipplin.png,0.001953125,0.03990665,0.903595,0.0,0.11111111107638888,0.15062882591222665,0.5093749998408202,0.006249999998046874,0.86575985,2.0804982,22.59852,0.0
Venipede,Bug,Poison,5.0,30,45,59,30,39,57,260,0.4,5.3,https://img.pokemondb.net/sprites/home/normal/2x/venipede.jpg,0.001953125,0.031822924,0.7162323,0.0,0.11111111110615522,0.10560770984002842,0.30330062442893396,0.01471900089140415,1.0198687,2.5541697,30.3341,0.0
Glameow,Normal,,4.0,49,55,42,42,37,85,310,0.5,3.9,https://img.pokemondb.net/sprites/home/normal/2x/glameow.jpg,0.001953125,0.036483604,0.82450867,0.0,0.11111111110560783,0.10393009197110992,0.33184744921585696,0.009410599306121318,1.158478,2.3448026,27.639397,0.0
Duskull,Ghost,,3.0,20,40,90,30,90,25,295,0.8,15.0,https://img.pokemondb.net/sprites/home/normal/2x/duskull.jpg,0.001953125,0.034015823,0.76753235,0.0,0.11111111110391479,0.11475458675048424,0.35362694298227804,0.009067357512366103,1.438731,2.9224958,33.342808,0.0
Mantyke,Water,Flying,4.0,45,20,50,60,120,50,345,1.0,65.0,https://img.pokemondb.net/sprites/home/normal/2x/mantyke.jpg,0.001953125,0.032009643,0.71961975,0.0,0.11111111110681945,0.11380145763367848,0.30320587098095,0.006566241791944139,1.3314202,3.3791246,49.165207,0.0
Swinub,Ice,Ground,2.0,50,50,40,30,30,50,250,0.4,6.5,https://img.pokemondb.net/sprites/home/normal/2x/swinub.jpg,0.001953125,0.027153315,0.59794617,0.0,0.11111111110507246,0.112844175586496,0.3358695651991375,0.010869565216800567,1.4168682,3.1836197,32.479877,0.0
Gimmighoul,Ghost,,9.0,45,30,70,75,70,10,300,0.3,5.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/gimmighoul.png,0.001953125,0.04094521,0.92736816,0.0,0.11111111108016093,0.11211055682523495,0.2896935932340686,0.005571030639116704,0.65996826,1.8244582,22.528215,0.0
Oddish,Grass,Poison,1.0,45,50,55,75,65,30,320,0.5,5.4,https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg,0.001953125,0.031162018,0.6966858,0.0,0.1111111111058352,0.11186141261859792,0.3390313390152407,0.009496676162891897,0.9243664,2.6442144,35.2291,0.0
Grafaiai,Poison,Normal,9.0,63,95,65,80,72,110,485,0.7,27.2,https://img.pokemondb.net/sprites/scarlet-violet/normal/grafaiai.png,0.001953125,0.03897423,0.8821106,0.0,0.11111111109283628,0.12853082874149438,0.40953947361685206,0.004934210525504242,1.0948745,2.4888117,21.867235,0.0
Purrloin,Dark,,5.0,41,50,37,50,37,66,281,0.4,10.1,https://img.pokemondb.net/sprites/home/normal/2x/purrloin.jpg,0.001953125,0.036582656,0.82670593,0.0,0.11111111110546235,0.11779020697275823,0.3848500253998551,0.013218098626679303,1.2109361,2.9966118,32.604546,0.0
Larvitar,Rock,Ground,2.0,50,64,50,45,50,41,300,0.6,72.0,https://img.pokemondb.net/sprites/home/normal/2x/larvitar.jpg,0.001953125,0.036391042,0.82221985,0.0,0.11111111110305957,0.1054701231706353,0.30072463765936774,0.014492753622138206,0.99976665,2.438004,29.534878,0.0
Linoone,Normal,,3.0,78,70,61,50,61,100,420,0.5,32.5,https://img.pokemondb.net/sprites/home/normal/2x/linoone.jpg,0.001953125,0.038780846,0.87771606,0.0,0.11111111110031313,0.11009641116132975,0.30709426624809577,0.010689990280788144,0.87303674,1.9663942,23.065634,0.0
Blaziken,Fire,Fighting,3.0,80,120,70,110,70,80,530,1.9,52.0,https://img.pokemondb.net/sprites/home/normal/2x/blaziken.jpg,0.001953125,0.03285101,0.741745,0.0,0.11111111110593352,0.1049392913821262,0.31314072691923855,0.012115563839137207,1.5182114,3.0093055,34.51953,0.0
Phione,Water,,4.0,80,80,80,80,80,80,480,0.4,3.1,https://img.pokemondb.net/sprites/home/normal/2x/phione.jpg,0.001953125,0.035631716,0.8051758,0.0,0.11111111110620987,0.1098422890641429,0.3206881340837809,0.011027790030391364,1.1653581,2.9904625,38.420242,0.0
Arctibax,Dragon,Ice,9.0,90,95,66,45,65,62,423,0.8,30.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/arctibax.png,0.001953125,0.03850253,0.8713074,0.0,0.11111111108893325,0.1354771784045635,0.4391217563993769,0.003992015967267062,1.1422417,2.3391793,22.770046,0.0
Garbodor,Poison,,5.0,80,95,82,60,82,75,474,1.9,107.3,https://img.pokemondb.net/sprites/home/normal/2x/garbodor.jpg,0.001953125,0.02673433,0.5977478,0.0,0.11111111110808768,0.10293845542116555,0.2941496598559415,0.01251700680238049,1.4082911,2.7499819,27.502678,0.0
Tatsugiri,Dragon,Water,9.0,68,50,60,120,95,82,475,0.3,8.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/tatsugiri.png,0.001953125,0.04071134,0.92189026,0.0,0.11111111107085345,0.15369039632681075,0.5217391302457467,0.014492753617937407,0.8486736,1.9950387,25.509706,0.0
Stunky,Poison,Dark,4.0,63,63,47,41,41,74,329,0.4,19.2,https://img.pokemondb.net/sprites/home/normal/2x/stunky.jpg,0.001953125,0.030893648,0.6867981,0.0,0.11111111110692772,0.11144810721536065,0.3467620481797153,0.013554216866959555,1.1794661,2.5080476,25.690008,0.0
Ursaring,Normal,,2.0,90,130,75,75,75,55,500,1.8,125.8,https://img.pokemondb.net/sprites/home/normal/2x/ursaring.jpg,0.001953125,0.029943064,0.6697235,0.0,0.11111111110603292,0.10489215162960033,0.3071297988890709,0.00822669104167154,1.898087,3.614308,34.62224,0.0
Toedscool,Ground,Grass,9.0,40,40,35,50,100,70,335,0.9,33.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/toedscool.png,0.001953125,0.042648625,0.96595764,0.0,0.11111111105039467,0.11055731072642418,0.33879781402251485,0.0,0.62446314,1.8418769,23.485548,0.0
Dracovish,Water,Dragon,8.0,90,90,100,70,80,75,505,2.3,215.0,https://img.pokemondb.net/sprites/home/normal/2x/dracovish.jpg,0.001953125,0.025754893,0.577713,0.0,0.11111111110822287,0.11080647338337869,0.33194697165760473,0.008318170002383203,1.3987969,3.2512383,36.3467,0.0
Wooloo,Normal,,8.0,42,40,55,40,45,48,270,0.6,6.0,https://img.pokemondb.net/sprites/home/normal/2x/wooloo.jpg,0.001953125,0.037542768,0.8487854,0.0,0.11111111110573044,0.13601765139608898,0.44503631959103945,0.007263922517808043,1.3786576,2.748352,29.775747,0.0
Crabrawler,Fighting,,7.0,47,82,57,42,47,63,338,0.6,7.0,https://img.pokemondb.net/sprites/home/normal/2x/crabrawler.jpg,0.001953125,0.033852715,0.7650604,0.0,0.11111111110581255,0.10709354050913639,0.31855030995142825,0.00953743442968348,0.9252272,2.5199392,32.144886,0.0
Exeggutor,Grass,Psychic,1.0,95,95,85,125,75,55,530,2.0,120.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg,0.001953125,0.030509956,0.68544006,0.0,0.11111111110784985,0.1108838492757654,0.3384208981409328,0.007044320516376745,1.7805724,3.3298192,27.005692,0.0
Cottonee,Grass,Fairy,5.0,40,27,60,37,50,66,280,0.3,0.6,https://img.pokemondb.net/sprites/home/normal/2x/cottonee.jpg,0.001953125,0.03380641,0.7624512,0.0,0.1111111111036839,0.10970026743220226,0.31417112297365163,0.006684491978162801,1.043189,2.7102938,34.9496,0.0
Magneton,Electric,Steel,1.0,50,60,95,120,70,70,465,1.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/magneton.jpg,0.001953125,0.034516286,0.77983093,0.0,0.11111111110748595,0.10341292147157648,0.3047308319639566,0.009787928221540362,1.8121911,4.6690564,47.527843,0.0
Hitmontop,Fighting,,2.0,50,95,95,35,110,70,455,1.4,48.0,https://img.pokemondb.net/sprites/home/normal/2x/hitmontop.jpg,0.001953125,0.031401347,0.70732117,0.0,0.11111111110710131,0.10576754916781474,0.2988090941790397,0.009382894261660668,2.1096478,4.0273733,37.81967,0.0
Great Tusk,Ground,Fighting,9.0,115,131,131,53,53,87,570,2.2,320.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/great-tusk.png,0.001953125,0.03392963,0.7665405,0.0,0.11111111110068793,0.13389362269296598,0.441838649114274,0.0028142589115558855,1.4223406,2.7927284,32.60098,0.0
Golett,Ground,Ghost,5.0,59,74,50,35,50,35,303,1.0,92.0,https://img.pokemondb.net/sprites/home/normal/2x/golett.jpg,0.001953125,0.025022933,0.55989075,0.0,0.11111111110799962,0.10825115241104487,0.29683562026612054,0.011761411369034965,1.7867892,3.8305035,47.64518,0.0
