Number,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Image URL,Height,Weight
0040,Wigglytuff,Normal Fairy,435,140,70,45,85,50,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/wigglytuff.jpg,1.0,12.0
0041,Zubat,Poison Flying,245,40,45,35,30,40,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/zubat.jpg,0.8,7.5
0042,Golbat,Poison Flying,455,75,80,70,65,75,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/golbat.jpg,1.6,55.0
0043,Oddish,Grass Poison,320,45,50,55,75,65,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg,0.5,5.4
0044,Gloom,Grass Poison,395,60,65,70,85,75,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/gloom.jpg,0.8,8.6
0045,Vileplume,Grass Poison,490,75,80,85,110,90,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/vileplume.jpg,1.2,18.6
0046,Paras,Bug Grass,285,35,70,55,45,55,25,1.0,https://img.pokemondb.net/sprites/home/normal/2x/paras.jpg,0.3,5.4
0047,Parasect,Bug Grass,405,60,95,80,60,80,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg,1.0,29.5
0048,Venonat,Bug Poison,305,60,55,50,40,55,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/venonat.jpg,1.0,30.0
0049,Venomoth,Bug Poison,450,70,65,60,90,75,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/venomoth.jpg,1.5,12.5
0050,Diglett,Ground,265,10,55,25,35,45,95,1.0,https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg,0.2,0.8
0050,Diglett,Ground Steel,265,10,55,30,35,45,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg,0.2,0.8
0051,Dugtrio,Ground,425,35,100,50,50,70,120,1.0,https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg,0.7,33.3
0051,Dugtrio,Ground Steel,425,35,100,60,50,70,110,1.0,https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg,0.7,33.3
0052,Meowth,Normal,290,40,45,35,40,40,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg,0.4,4.2
0052,Meowth,Dark,290,40,35,35,50,40,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg,0.4,4.2
0052,Meowth,Steel,290,50,65,55,40,40,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg,0.4,4.2
0053,Persian,Normal,440,65,70,60,65,65,115,1.0,https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg,1.0,32.0
0053,Persian,Dark,440,65,60,60,75,65,115,1.0,https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg,1.0,32.0
0054,Psyduck,Water,320,50,52,48,65,50,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/psyduck.jpg,0.8,19.6
0055,Golduck,Water,500,80,82,78,95,80,85,1.0,https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg,1.7,76.6
0056,Mankey,Fighting,305,40,80,35,35,45,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/mankey.jpg,0.5,28.0
0057,Primeape,Fighting,455,65,105,60,60,70,95,1.0,https://img.pokemondb.net/sprites/home/normal/2x/primeape.jpg,1.0,32.0
0058,Growlithe,Fire,350,55,70,45,70,50,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg,0.7,19.0
0058,Growlithe,Fire Rock,350,60,75,45,65,50,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg,0.7,19.0
0059,Arcanine,Fire,555,90,110,80,100,80,95,1.0,https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg,1.9,155.0
0059,Arcanine,Fire Rock,555,95,115,80,95,80,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg,1.9,155.0
0060,Poliwag,Water,300,40,50,40,40,40,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/poliwag.jpg,0.6,12.4
0061,Poliwhirl,Water,385,65,65,65,50,50,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/poliwhirl.jpg,1.0,20.0
0062,Poliwrath,Water Fighting,510,90,95,95,70,90,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/poliwrath.jpg,1.3,54.0
0063,Abra,Psychic,310,25,20,15,105,55,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/abra.jpg,0.9,19.5
0064,Kadabra,Psychic,400,40,35,30,120,70,105,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kadabra.jpg,1.3,56.5
0065,Alakazam,Psychic,500,55,50,45,135,95,120,1.0,https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg,1.5,48.0
0065,Alakazam,Psychic,600,55,50,65,175,105,150,1.0,https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg,1.5,48.0
0066,Machop,Fighting,305,70,80,50,35,35,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/machop.jpg,0.8,19.5
0067,Machoke,Fighting,405,80,100,70,50,60,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg,1.5,70.5
0068,Machamp,Fighting,505,90,130,80,65,85,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/machamp.jpg,1.6,130.0
0069,Bellsprout,Grass Poison,300,50,75,35,70,30,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/bellsprout.jpg,0.7,4.0
0070,Weepinbell,Grass Poison,390,65,90,50,85,45,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/weepinbell.jpg,1.0,6.4
0071,Victreebel,Grass Poison,490,80,105,65,100,70,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/victreebel.jpg,1.7,15.5
0072,Tentacool,Water Poison,335,40,40,35,50,100,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tentacool.jpg,0.9,45.5
0073,Tentacruel,Water Poison,515,80,70,65,80,120,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tentacruel.jpg,1.6,55.0
0074,Geodude,Rock Ground,300,40,80,100,30,30,20,1.0,https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg,0.4,20.0
0074,Geodude,Rock Electric,300,40,80,100,30,30,20,1.0,https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg,0.4,20.0
0075,Graveler,Rock Ground,390,55,95,115,45,45,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg,1.0,105.0
0075,Graveler,Rock Electric,390,55,95,115,45,45,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg,1.0,105.0
0076,Golem,Rock Ground,495,80,120,130,55,65,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg,1.4,300.0
0076,Golem,Rock Electric,495,80,120,130,55,65,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg,1.4,300.0
0077,Ponyta,Fire,410,50,85,55,65,65,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg,1.0,30.0
0077,Ponyta,Psychic,410,50,85,55,65,65,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg,1.0,30.0
0078,Rapidash,Fire,500,65,100,70,80,80,105,1.0,https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg,1.7,95.0
0078,Rapidash,Psychic Fairy,500,65,100,70,80,80,105,1.0,https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg,1.7,95.0
0079,Slowpoke,Water Psychic,315,90,65,65,40,40,15,1.0,https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg,1.2,36.0
0079,Slowpoke,Psychic,315,90,65,65,40,40,15,1.0,https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg,1.2,36.0
0080,Slowbro,Water Psychic,490,95,75,110,100,80,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg,1.6,78.5
0080,Slowbro,Water Psychic,590,95,75,180,130,80,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg,1.6,78.5
0080,Slowbro,Poison Psychic,490,95,100,95,100,70,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg,1.6,78.5
0081,Magnemite,Electric Steel,325,25,35,70,95,55,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/magnemite.jpg,0.3,6.0
0082,Magneton,Electric Steel,465,50,60,95,120,70,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/magneton.jpg,1.0,60.0
0083,Farfetch'd,Normal Flying,377,52,90,55,58,62,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg,0.8,15.0
0083,Farfetch'd,Fighting,377,52,95,55,58,62,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg,0.8,15.0
0084,Doduo,Normal Flying,310,35,85,45,35,35,75,1.0,https://img.pokemondb.net/sprites/home/normal/2x/doduo.jpg,1.4,39.2
0085,Dodrio,Normal Flying,470,60,110,70,60,60,110,1.0,https://img.pokemondb.net/sprites/home/normal/2x/dodrio.jpg,1.8,85.2
0086,Seel,Water,325,65,45,55,45,70,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/seel.jpg,1.1,90.0
0087,Dewgong,Water Ice,475,90,70,80,70,95,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/dewgong.jpg,1.7,120.0
0088,Grimer,Poison,325,80,80,50,40,50,25,1.0,https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg,0.9,30.0
0088,Grimer,Poison Dark,325,80,80,50,40,50,25,1.0,https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg,0.9,30.0
0089,Muk,Poison,500,105,105,75,65,100,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg,1.2,30.0
0089,Muk,Poison Dark,500,105,105,75,65,100,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg,1.2,30.0
0090,Shellder,Water,305,30,65,100,45,25,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/shellder.jpg,0.3,4.0
0091,Cloyster,Water Ice,525,50,95,180,85,45,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/cloyster.jpg,1.5,132.5
0092,Gastly,Ghost Poison,310,30,35,30,100,35,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/gastly.jpg,1.3,0.1
0093,Haunter,Ghost Poison,405,45,50,45,115,55,95,1.0,https://img.pokemondb.net/sprites/home/normal/2x/haunter.jpg,1.6,0.1
0094,Gengar,Ghost Poison,500,60,65,60,130,75,110,1.0,https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg,1.5,40.5
0094,Gengar,Ghost Poison,600,60,65,80,170,95,130,1.0,https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg,1.5,40.5
0095,Onix,Rock Ground,385,35,45,160,30,45,70,1.0,https://img.pokemondb.net/sprites/home/normal/2x/onix.jpg,8.8,210.0
0096,Drowzee,Psychic,328,60,48,45,43,90,42,1.0,https://img.pokemondb.net/sprites/home/normal/2x/drowzee.jpg,1.0,32.4
0097,Hypno,Psychic,483,85,73,70,73,115,67,1.0,https://img.pokemondb.net/sprites/home/normal/2x/hypno.jpg,1.6,75.6
0098,Krabby,Water,325,30,105,90,25,25,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/krabby.jpg,0.4,6.5
0099,Kingler,Water,475,55,130,115,50,50,75,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kingler.jpg,1.3,60.0
0100,Voltorb,Electric,330,40,30,50,55,55,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg,0.5,10.4
0100,Voltorb,Electric Grass,330,40,30,50,55,55,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg,0.5,10.4
0101,Electrode,Electric,490,60,50,70,80,80,150,1.0,https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg,1.2,66.6
0101,Electrode,Electric Grass,490,60,50,70,80,80,150,1.0,https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg,1.2,66.6
0102,Exeggcute,Grass Psychic,325,60,40,80,60,45,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggcute.jpg,0.4,2.5
0103,Exeggutor,Grass Psychic,530,95,95,85,125,75,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg,2.0,120.0
0103,Exeggutor,Grass Dragon,530,95,105,85,125,75,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg,2.0,120.0
0104,Cubone,Ground,320,50,50,95,40,50,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/cubone.jpg,0.4,6.5
0105,Marowak,Ground,425,60,80,110,50,80,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg,1.0,45.0
0105,Marowak,Fire Ghost,425,60,80,110,50,80,45,1.0,https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg,1.0,45.0
0106,Hitmonlee,Fighting,455,50,120,53,35,110,87,1.0,https://img.pokemondb.net/sprites/home/normal/2x/hitmonlee.jpg,1.5,49.8
0107,Hitmonchan,Fighting,455,50,105,79,35,110,76,1.0,https://img.pokemondb.net/sprites/home/normal/2x/hitmonchan.jpg,1.4,50.2
0108,Lickitung,Normal,385,90,55,75,60,75,30,1.0,https://img.pokemondb.net/sprites/home/normal/2x/lickitung.jpg,1.2,65.5
0109,Koffing,Poison,340,40,65,95,60,45,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/koffing.jpg,0.6,1.0
0110,Weezing,Poison,490,65,90,120,85,70,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg,1.2,9.5
0110,Weezing,Poison Fairy,490,65,90,120,85,70,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg,1.2,9.5
0111,Rhyhorn,Ground Rock,345,80,85,95,30,30,25,1.0,https://img.pokemondb.net/sprites/home/normal/2x/rhyhorn.jpg,1.0,115.0
0112,Rhydon,Ground Rock,485,105,130,120,45,45,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/rhydon.jpg,1.9,120.0
0113,Chansey,Normal,450,250,5,5,35,105,50,1.0,https://img.pokemondb.net/sprites/home/normal/2x/chansey.jpg,1.1,34.6
0114,Tangela,Grass,435,65,55,115,100,40,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tangela.jpg,1.0,35.0
0115,Kangaskhan,Normal,490,105,95,80,40,80,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kangaskhan.jpg,2.2,80.0
0115,Kangaskhan,Normal,590,105,125,100,60,100,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kangaskhan.jpg,2.2,80.0
0116,Horsea,Water,295,30,40,70,70,25,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/horsea.jpg,0.4,8.0
0117,Seadra,Water,440,55,65,95,95,45,85,1.0,https://img.pokemondb.net/sprites/home/normal/2x/seadra.jpg,1.2,25.0
0118,Goldeen,Water,320,45,67,60,35,50,63,1.0,https://img.pokemondb.net/sprites/home/normal/2x/goldeen.jpg,0.6,15.0
0119,Seaking,Water,450,80,92,65,65,80,68,1.0,https://img.pokemondb.net/sprites/home/normal/2x/seaking.jpg,1.3,39.0
0120,Staryu,Water,340,30,45,55,70,55,85,1.0,https://img.pokemondb.net/sprites/home/normal/2x/staryu.jpg,0.8,34.5
0121,Starmie,Water Psychic,520,60,75,85,100,85,115,1.0,https://img.pokemondb.net/sprites/home/normal/2x/starmie.jpg,1.1,80.0
0122,Mr. Mime,Psychic Fairy,460,40,45,65,100,120,90,1.0,https://img.pokemondb.net/sprites/home/normal/2x/mr-mime.jpg,Unknown,Unknown
0122,Mr. Mime,Ice Psychic,460,50,65,65,90,90,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/mr-mime.jpg,Unknown,Unknown
0123,Scyther,Bug Flying,500,70,110,80,55,80,105,1.0,https://img.pokemondb.net/sprites/home/normal/2x/scyther.jpg,1.5,56.0
0124,Jynx,Ice Psychic,455,65,50,35,115,95,95,1.0,https://img.pokemondb.net/sprites/home/normal/2x/jynx.jpg,1.4,40.6
0125,Electabuzz,Electric,490,65,83,57,95,85,105,1.0,https://img.pokemondb.net/sprites/home/normal/2x/electabuzz.jpg,1.1,30.0
0126,Magmar,Fire,495,65,95,57,100,85,93,1.0,https://img.pokemondb.net/sprites/home/normal/2x/magmar.jpg,1.3,44.5
0127,Pinsir,Bug,500,65,125,100,55,70,85,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pinsir.jpg,1.5,55.0
0127,Pinsir,Bug Flying,600,65,155,120,65,90,105,1.0,https://img.pokemondb.net/sprites/home/normal/2x/pinsir.jpg,1.5,55.0
0128,Tauros,Normal,490,75,100,95,40,70,110,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg,1.4,88.4
0128,Tauros,Fighting,490,75,110,105,30,70,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg,1.4,88.4
0128,Tauros,Fighting Fire,490,75,110,105,30,70,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg,1.4,88.4
0128,Tauros,Fighting Water,490,75,110,105,30,70,100,1.0,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg,1.4,88.4
0129,Magikarp,Water,200,20,10,55,15,20,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/magikarp.jpg,0.9,10.0
0130,Gyarados,Water Flying,540,95,125,79,60,100,81,1.0,https://img.pokemondb.net/sprites/home/normal/2x/gyarados.jpg,6.5,235.0
0130,Gyarados,Water Dark,640,95,155,109,70,130,81,1.0,https://img.pokemondb.net/sprites/home/normal/2x/gyarados.jpg,6.5,235.0
0131,Lapras,Water Ice,535,130,85,80,85,95,60,1.0,https://img.pokemondb.net/sprites/home/normal/2x/lapras.jpg,2.5,220.0
0132,Ditto,Normal,288,48,48,48,48,48,48,1.0,https://img.pokemondb.net/sprites/home/normal/2x/ditto.jpg,0.3,4.0
0133,Eevee,Normal,325,55,55,50,45,65,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/eevee.jpg,0.3,6.5
0133,Eevee,Normal,435,65,75,70,65,85,75,1.0,https://img.pokemondb.net/sprites/home/normal/2x/eevee.jpg,0.3,6.5
0134,Vaporeon,Water,525,130,65,60,110,95,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/vaporeon.jpg,1.0,29.0
0135,Jolteon,Electric,525,65,65,60,110,95,130,1.0,https://img.pokemondb.net/sprites/home/normal/2x/jolteon.jpg,0.8,24.5
0136,Flareon,Fire,525,65,130,60,95,110,65,1.0,https://img.pokemondb.net/sprites/home/normal/2x/flareon.jpg,0.9,25.0
0137,Porygon,Normal,395,65,60,70,85,75,40,1.0,https://img.pokemondb.net/sprites/home/normal/2x/porygon.jpg,0.8,36.5
0138,Omanyte,Rock Water,355,35,40,100,90,55,35,1.0,https://img.pokemondb.net/sprites/home/normal/2x/omanyte.jpg,0.4,7.5
0139,Omastar,Rock Water,495,70,60,125,115,70,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/omastar.jpg,1.0,35.0
0140,Kabuto,Rock Water,355,30,80,90,55,45,55,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kabuto.jpg,0.5,11.5
0141,Kabutops,Rock Water,495,60,115,105,65,70,80,1.0,https://img.pokemondb.net/sprites/home/normal/2x/kabutops.jpg,1.3,40.5
0142,Aerodactyl,Rock Flying,515,80,105,65,60,75,130,1.0,https://img.pokemondb.net/sprites/home/normal/2x/aerodactyl.jpg,1.8,59.0
