Name,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,Stat_Total,Physical_Ratio,Special_Ratio,Offensive_Ratio,Defensive_Ratio,Speed_Ratio,BMI,Is_Single_Type,Primary_Bug,Primary_Dark,Primary_Dragon,Primary_Electric,Primary_Fairy,Primary_Fighting,Primary_Fire,Primary_Flying,Primary_Ghost,Primary_Grass,Primary_Ground,Primary_Ice,Primary_Normal,Primary_Poison,Primary_Psychic,Primary_Rock,Primary_Steel,Primary_Water,Secondary_Bug,Secondary_Dark,Secondary_Dragon,Secondary_Electric,Secondary_Fairy,Secondary_Fighting,Secondary_Fire,Secondary_Flying,Secondary_Ghost,Secondary_Grass,Secondary_Ground,Secondary_Ice,Secondary_Normal,Secondary_Poison,Secondary_Psychic,Secondary_Rock,Secondary_Steel,Secondary_Water,Is_Early_Gen,Highest_Stat,Stat_Spread
Arctibax,9.0,90,95,66,45,65,62,423,0.8,30.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/arctibax.png,423,0.3806146572104019,0.26004728132387706,0.3309692671394799,0.30969267139479906,0.14657210401891252,46.87499999999999,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,Attack,18.726985876002576
Beautifly,3.0,60,70,50,100,50,65,395,1.0,28.4,https://img.pokemondb.net/sprites/home/normal/2x/beautifly.jpg,395,0.3037974683544304,0.379746835443038,0.43037974683544306,0.25316455696202533,0.16455696202531644,28.4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Sp. Atk,18.55172947912584
Tapu Lele,7.0,70,85,75,130,115,95,570,1.2,18.6,https://img.pokemondb.net/sprites/home/normal/2x/tapu-lele.jpg,570,0.2807017543859649,0.4298245614035088,0.37719298245614036,0.3333333333333333,0.16666666666666666,12.916666666666668,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,23.45207879911715
Miltank,2.0,95,80,105,40,70,100,490,1.2,75.5,https://img.pokemondb.net/sprites/home/normal/2x/miltank.jpg,490,0.37755102040816324,0.22448979591836735,0.24489795918367346,0.35714285714285715,0.20408163265306123,52.43055555555556,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Defense,24.221202832779934
Kirlia,3.0,38,35,35,65,55,50,278,0.8,20.2,https://img.pokemondb.net/sprites/home/normal/2x/kirlia.jpg,278,0.2517985611510791,0.4316546762589928,0.3597122302158273,0.3237410071942446,0.17985611510791366,31.562499999999993,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Sp. Atk,12.355835328567093
Feraligatr,2.0,85,105,100,79,83,78,530,2.3,88.8,https://img.pokemondb.net/sprites/home/normal/2x/feraligatr.jpg,530,0.3867924528301887,0.30566037735849055,0.3471698113207547,0.3452830188679245,0.1471698113207547,16.78638941398866,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Attack,11.378341999899048
Gumshoos,7.0,88,110,60,55,60,45,418,0.7,14.2,https://img.pokemondb.net/sprites/home/normal/2x/gumshoos.jpg,418,0.40669856459330145,0.2751196172248804,0.39473684210526316,0.28708133971291866,0.1076555023923445,28.979591836734695,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,24.385788210895843
Braixen,6.0,59,59,58,90,70,73,409,1.0,14.5,https://img.pokemondb.net/sprites/home/normal/2x/braixen.jpg,409,0.2860635696821516,0.39119804400978,0.3643031784841076,0.31295843520782396,0.1784841075794621,14.5,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,12.44856082712643
Machoke,1.0,80,100,70,50,60,45,405,1.5,70.5,https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg,405,0.41975308641975306,0.2716049382716049,0.37037037037037035,0.32098765432098764,0.1111111111111111,31.333333333333332,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Attack,20.43281674170255
Mabosstiff,9.0,80,120,90,60,70,85,505,1.1,61.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/mabosstiff.png,505,0.4158415841584158,0.25742574257425743,0.3564356435643564,0.31683168316831684,0.16831683168316833,50.41322314049586,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,20.59530690877576
Arceus,4.0,120,120,120,120,120,120,720,3.2,320.0,https://img.pokemondb.net/sprites/home/normal/2x/arceus.jpg,720,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,31.249999999999993,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,HP,0.0
Arctovish,8.0,90,90,100,80,90,55,505,2.0,175.0,https://img.pokemondb.net/sprites/home/normal/2x/arctovish.jpg,505,0.37623762376237624,0.33663366336633666,0.33663366336633666,0.37623762376237624,0.10891089108910891,43.75,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,Defense,15.625833311112295
Meowth,1.0,40,45,35,40,40,90,290,0.4,4.2,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg,290,0.27586206896551724,0.27586206896551724,0.29310344827586204,0.25862068965517243,0.3103448275862069,26.249999999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Speed,20.65591117977289
Aromatisse,6.0,101,72,72,99,89,29,462,0.8,15.5,https://img.pokemondb.net/sprites/home/normal/2x/aromatisse.jpg,462,0.3116883116883117,0.4069264069264069,0.37012987012987014,0.3484848484848485,0.06277056277056277,24.218749999999996,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,HP,26.67583175835385
Cresselia,4.0,120,70,110,75,120,85,580,1.5,85.6,https://img.pokemondb.net/sprites/home/normal/2x/cresselia.jpg,580,0.3103448275862069,0.33620689655172414,0.25,0.39655172413793105,0.14655172413793102,38.044444444444444,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,HP,22.73030282830976
Shelgon,3.0,65,95,100,60,50,50,420,1.1,110.5,https://img.pokemondb.net/sprites/home/normal/2x/shelgon.jpg,420,0.4642857142857143,0.2619047619047619,0.36904761904761907,0.35714285714285715,0.11904761904761904,91.32231404958677,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Defense,22.135943621178654
Cobalion,5.0,91,90,129,90,72,108,580,2.1,250.0,https://img.pokemondb.net/sprites/home/normal/2x/cobalion.jpg,580,0.3775862068965517,0.2793103448275862,0.3103448275862069,0.34655172413793106,0.18620689655172415,56.68934240362812,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,Defense,19.510680835549195
Gouging Fire,9.0,105,115,121,65,93,91,590,3.5,590.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/gouging-fire.png,590,0.4,0.2677966101694915,0.3050847457627119,0.36271186440677966,0.15423728813559323,48.16326530612245,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Defense,20.146132796809084
Igglybuff,2.0,90,30,15,40,20,15,210,0.3,1.0,https://img.pokemondb.net/sprites/home/normal/2x/igglybuff.jpg,210,0.21428571428571427,0.2857142857142857,0.3333333333333333,0.16666666666666666,0.07142857142857142,11.11111111111111,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,HP,28.635642126552707
Mankey,1.0,40,80,35,35,45,70,305,0.5,28.0,https://img.pokemondb.net/sprites/home/normal/2x/mankey.jpg,305,0.3770491803278688,0.26229508196721313,0.3770491803278688,0.26229508196721313,0.22950819672131148,112.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Attack,19.343388189938874
Popplio,7.0,50,54,54,66,56,40,320,0.4,7.5,https://img.pokemondb.net/sprites/home/normal/2x/popplio.jpg,320,0.3375,0.38125,0.375,0.34375,0.125,46.87499999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,8.453795991545258
Iron Boulder,9.0,90,120,80,68,108,124,590,1.5,162.5,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-boulder.png,590,0.3389830508474576,0.2983050847457627,0.31864406779661014,0.31864406779661014,0.21016949152542372,72.22222222222223,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,Speed,22.57136829407262
Skorupi,4.0,40,50,90,30,55,65,330,0.8,12.0,https://img.pokemondb.net/sprites/home/normal/2x/skorupi.jpg,330,0.42424242424242425,0.25757575757575757,0.24242424242424243,0.4393939393939394,0.19696969696969696,18.749999999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Defense,20.97617696340303
Drednaw,8.0,90,115,90,48,68,74,485,1.0,115.5,https://img.pokemondb.net/sprites/home/normal/2x/drednaw.jpg,485,0.422680412371134,0.23917525773195877,0.33608247422680415,0.32577319587628867,0.15257731958762888,115.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,Attack,22.91215107026546
Rhyhorn,1.0,80,85,95,30,30,25,345,1.0,115.0,https://img.pokemondb.net/sprites/home/normal/2x/rhyhorn.jpg,345,0.5217391304347826,0.17391304347826086,0.3333333333333333,0.36231884057971014,0.07246376811594203,115.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,Defense,32.36510466536452
Drizzile,8.0,65,60,55,95,55,90,420,0.7,11.5,https://img.pokemondb.net/sprites/home/normal/2x/drizzile.jpg,420,0.27380952380952384,0.35714285714285715,0.36904761904761907,0.2619047619047619,0.21428571428571427,23.469387755102044,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,17.88854381999832
Palpitoad,5.0,75,65,55,65,55,69,384,0.8,17.0,https://img.pokemondb.net/sprites/home/normal/2x/palpitoad.jpg,384,0.3125,0.3125,0.3385416666666667,0.2864583333333333,0.1796875,26.562499999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,HP,7.874007874011811
Perrserker,8.0,70,110,100,50,60,50,440,0.8,28.0,https://img.pokemondb.net/sprites/home/normal/2x/perrserker.jpg,440,0.4772727272727273,0.25,0.36363636363636365,0.36363636363636365,0.11363636363636363,43.74999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,25.819888974716115
Dragonair,1.0,61,84,65,70,70,70,420,4.0,16.5,https://img.pokemondb.net/sprites/home/normal/2x/dragonair.jpg,420,0.3547619047619048,0.3333333333333333,0.36666666666666664,0.32142857142857145,0.16666666666666666,1.03125,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Attack,7.771743691090179
Treecko,3.0,40,45,35,65,55,70,310,0.5,5.0,https://img.pokemondb.net/sprites/home/normal/2x/treecko.jpg,310,0.25806451612903225,0.3870967741935484,0.3548387096774194,0.2903225806451613,0.22580645161290322,20.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Speed,14.023789311975086
Electabuzz,1.0,65,83,57,95,85,105,490,1.1,30.0,https://img.pokemondb.net/sprites/home/normal/2x/electabuzz.jpg,490,0.2857142857142857,0.3673469387755102,0.363265306122449,0.2897959183673469,0.21428571428571427,24.793388429752063,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Speed,18.00740588387641
Horsea,1.0,30,40,70,70,25,60,295,0.4,8.0,https://img.pokemondb.net/sprites/home/normal/2x/horsea.jpg,295,0.3728813559322034,0.3220338983050847,0.3728813559322034,0.3220338983050847,0.2033898305084746,49.99999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Defense,20.103896803024696
Pumpkaboo,6.0,49,66,70,44,55,51,335,0.4,5.0,https://img.pokemondb.net/sprites/home/normal/2x/pumpkaboo.jpg,335,0.4059701492537313,0.2955223880597015,0.3283582089552239,0.373134328358209,0.15223880597014924,31.249999999999993,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,Defense,10.147249216741779
Togetic,2.0,55,40,85,80,105,40,405,0.6,3.2,https://img.pokemondb.net/sprites/home/normal/2x/togetic.jpg,405,0.30864197530864196,0.4567901234567901,0.2962962962962963,0.4691358024691358,0.09876543209876543,8.88888888888889,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Sp. Def,26.59887215654077
Skarmory,2.0,65,80,140,40,70,70,465,1.7,50.5,https://img.pokemondb.net/sprites/home/normal/2x/skarmory.jpg,465,0.4731182795698925,0.23655913978494625,0.25806451612903225,0.45161290322580644,0.15053763440860216,17.474048442906575,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,Defense,33.42902930089356
Parasect,1.0,60,95,80,60,80,30,405,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg,405,0.43209876543209874,0.345679012345679,0.38271604938271603,0.3950617283950617,0.07407407407407407,29.5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,Attack,22.74862633215465
Mr. Mime,1.0,40,45,65,100,120,90,460,1.3,54.5,https://img.pokemondb.net/sprites/home/normal/2x/mr-mime.jpg,460,0.2391304347826087,0.4782608695652174,0.31521739130434784,0.40217391304347827,0.1956521739130435,32.24852071005917,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,Sp. Def,31.88521078284832
Sinistea,8.0,40,45,45,74,54,50,308,0.1,0.2,https://img.pokemondb.net/sprites/home/normal/2x/sinistea.jpg,308,0.2922077922077922,0.4155844155844156,0.38636363636363635,0.32142857142857145,0.16233766233766234,19.999999999999996,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,12.094075684675811
Dewgong,1.0,90,70,80,70,95,70,475,1.7,120.0,https://img.pokemondb.net/sprites/home/normal/2x/dewgong.jpg,475,0.3157894736842105,0.3473684210526316,0.29473684210526313,0.3684210526315789,0.14736842105263157,41.52249134948097,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,Sp. Def,11.143009766964518
Vikavolt,7.0,77,70,90,145,75,43,500,1.5,45.0,https://img.pokemondb.net/sprites/home/normal/2x/vikavolt.jpg,500,0.32,0.44,0.43,0.33,0.086,20.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,33.9450536406509
Solosis,5.0,45,30,40,105,50,20,290,0.3,1.0,https://img.pokemondb.net/sprites/home/normal/2x/solosis.jpg,290,0.2413793103448276,0.5344827586206896,0.46551724137931033,0.3103448275862069,0.06896551724137931,11.11111111111111,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Sp. Atk,29.776948578836393
Mienfoo,5.0,45,85,50,55,50,65,350,0.9,20.0,https://img.pokemondb.net/sprites/home/normal/2x/mienfoo.jpg,350,0.38571428571428573,0.3,0.4,0.2857142857142857,0.18571428571428572,24.691358024691358,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Attack,14.719601443879744
Sandaconda,8.0,72,107,125,65,70,71,510,3.8,65.5,https://img.pokemondb.net/sprites/home/normal/2x/sandaconda.jpg,510,0.4549019607843137,0.2647058823529412,0.33725490196078434,0.38235294117647056,0.1392156862745098,4.53601108033241,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Defense,24.795160818191924
