Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL
Zubat,Poison,Flying,1.0,40,45,35,30,40,55,245,0.8,7.5,https://img.pokemondb.net/sprites/home/normal/2x/zubat.jpg
Golbat,Poison,Flying,1.0,75,80,70,65,75,90,455,1.6,55.0,https://img.pokemondb.net/sprites/home/normal/2x/golbat.jpg
Oddish,Grass,Poison,1.0,45,50,55,75,65,30,320,0.5,5.4,https://img.pokemondb.net/sprites/home/normal/2x/oddish.jpg
Gloom,Grass,Poison,1.0,60,65,70,85,75,40,395,0.8,8.6,https://img.pokemondb.net/sprites/home/normal/2x/gloom.jpg
Vileplume,Grass,Poison,1.0,75,80,85,110,90,50,490,1.2,18.6,https://img.pokemondb.net/sprites/home/normal/2x/vileplume.jpg
Paras,Bug,Grass,1.0,35,70,55,45,55,25,285,0.3,5.4,https://img.pokemondb.net/sprites/home/normal/2x/paras.jpg
Parasect,Bug,Grass,1.0,60,95,80,60,80,30,405,1.0,29.5,https://img.pokemondb.net/sprites/home/normal/2x/parasect.jpg
Venonat,Bug,Poison,1.0,60,55,50,40,55,45,305,1.0,30.0,https://img.pokemondb.net/sprites/home/normal/2x/venonat.jpg
Venomoth,Bug,Poison,1.0,70,65,60,90,75,90,450,1.5,12.5,https://img.pokemondb.net/sprites/home/normal/2x/venomoth.jpg
Diglett,Ground,None,1.0,10,55,25,35,45,95,265,0.2,0.8,https://img.pokemondb.net/sprites/home/normal/2x/diglett.jpg
Dugtrio,Ground,None,1.0,35,100,50,50,70,120,425,0.7,33.3,https://img.pokemondb.net/sprites/home/normal/2x/dugtrio.jpg
Meowth,Normal,None,1.0,40,45,35,40,40,90,290,0.4,4.2,https://img.pokemondb.net/sprites/home/normal/2x/meowth.jpg
Persian,Normal,None,1.0,65,70,60,65,65,115,440,1.0,32.0,https://img.pokemondb.net/sprites/home/normal/2x/persian.jpg
Psyduck,Water,None,1.0,50,52,48,65,50,55,320,0.8,19.6,https://img.pokemondb.net/sprites/home/normal/2x/psyduck.jpg
Golduck,Water,None,1.0,80,82,78,95,80,85,500,1.7,76.6,https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg
Mankey,Fighting,None,1.0,40,80,35,35,45,70,305,0.5,28.0,https://img.pokemondb.net/sprites/home/normal/2x/mankey.jpg
Primeape,Fighting,None,1.0,65,105,60,60,70,95,455,1.0,32.0,https://img.pokemondb.net/sprites/home/normal/2x/primeape.jpg
Growlithe,Fire,None,1.0,55,70,45,70,50,60,350,0.7,19.0,https://img.pokemondb.net/sprites/home/normal/2x/growlithe.jpg
Arcanine,Fire,None,1.0,90,110,80,100,80,95,555,1.9,155.0,https://img.pokemondb.net/sprites/home/normal/2x/arcanine.jpg
Poliwag,Water,None,1.0,40,50,40,40,40,90,300,0.6,12.4,https://img.pokemondb.net/sprites/home/normal/2x/poliwag.jpg
Poliwhirl,Water,None,1.0,65,65,65,50,50,90,385,1.0,20.0,https://img.pokemondb.net/sprites/home/normal/2x/poliwhirl.jpg
Poliwrath,Water,Fighting,1.0,90,95,95,70,90,70,510,1.3,54.0,https://img.pokemondb.net/sprites/home/normal/2x/poliwrath.jpg
Abra,Psychic,None,1.0,25,20,15,105,55,90,310,0.9,19.5,https://img.pokemondb.net/sprites/home/normal/2x/abra.jpg
Kadabra,Psychic,None,1.0,40,35,30,120,70,105,400,1.3,56.5,https://img.pokemondb.net/sprites/home/normal/2x/kadabra.jpg
Alakazam,Psychic,None,1.0,55,50,45,135,95,120,500,1.5,48.0,https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg
Machop,Fighting,None,1.0,70,80,50,35,35,35,305,0.8,19.5,https://img.pokemondb.net/sprites/home/normal/2x/machop.jpg
Machoke,Fighting,None,1.0,80,100,70,50,60,45,405,1.5,70.5,https://img.pokemondb.net/sprites/home/normal/2x/machoke.jpg
Machamp,Fighting,None,1.0,90,130,80,65,85,55,505,1.6,130.0,https://img.pokemondb.net/sprites/home/normal/2x/machamp.jpg
Bellsprout,Grass,Poison,1.0,50,75,35,70,30,40,300,0.7,4.0,https://img.pokemondb.net/sprites/home/normal/2x/bellsprout.jpg
Weepinbell,Grass,Poison,1.0,65,90,50,85,45,55,390,1.0,6.4,https://img.pokemondb.net/sprites/home/normal/2x/weepinbell.jpg
Victreebel,Grass,Poison,1.0,80,105,65,100,70,70,490,1.7,15.5,https://img.pokemondb.net/sprites/home/normal/2x/victreebel.jpg
Tentacool,Water,Poison,1.0,40,40,35,50,100,70,335,0.9,45.5,https://img.pokemondb.net/sprites/home/normal/2x/tentacool.jpg
Tentacruel,Water,Poison,1.0,80,70,65,80,120,100,515,1.6,55.0,https://img.pokemondb.net/sprites/home/normal/2x/tentacruel.jpg
Geodude,Rock,Ground,1.0,40,80,100,30,30,20,300,0.4,20.0,https://img.pokemondb.net/sprites/home/normal/2x/geodude.jpg
Graveler,Rock,Ground,1.0,55,95,115,45,45,35,390,1.0,105.0,https://img.pokemondb.net/sprites/home/normal/2x/graveler.jpg
Golem,Rock,Ground,1.0,80,120,130,55,65,45,495,1.4,300.0,https://img.pokemondb.net/sprites/home/normal/2x/golem.jpg
Ponyta,Fire,None,1.0,50,85,55,65,65,90,410,1.0,30.0,https://img.pokemondb.net/sprites/home/normal/2x/ponyta.jpg
Rapidash,Fire,None,1.0,65,100,70,80,80,105,500,1.7,95.0,https://img.pokemondb.net/sprites/home/normal/2x/rapidash.jpg
Slowpoke,Water,Psychic,1.0,90,65,65,40,40,15,315,1.2,36.0,https://img.pokemondb.net/sprites/home/normal/2x/slowpoke.jpg
Slowbro,Water,Psychic,1.0,95,75,110,100,80,30,490,1.6,78.5,https://img.pokemondb.net/sprites/home/normal/2x/slowbro.jpg
Magnemite,Electric,Steel,1.0,25,35,70,95,55,45,325,0.3,6.0,https://img.pokemondb.net/sprites/home/normal/2x/magnemite.jpg
Magneton,Electric,Steel,1.0,50,60,95,120,70,70,465,1.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/magneton.jpg
Farfetch'd,Normal,Flying,1.0,52,90,55,58,62,60,377,0.8,15.0,https://img.pokemondb.net/sprites/home/normal/2x/farfetchd.jpg
Doduo,Normal,Flying,1.0,35,85,45,35,35,75,310,1.4,39.2,https://img.pokemondb.net/sprites/home/normal/2x/doduo.jpg
Dodrio,Normal,Flying,1.0,60,110,70,60,60,110,470,1.8,85.2,https://img.pokemondb.net/sprites/home/normal/2x/dodrio.jpg
Seel,Water,None,1.0,65,45,55,45,70,45,325,1.1,90.0,https://img.pokemondb.net/sprites/home/normal/2x/seel.jpg
Dewgong,Water,Ice,1.0,90,70,80,70,95,70,475,1.7,120.0,https://img.pokemondb.net/sprites/home/normal/2x/dewgong.jpg
Grimer,Poison,None,1.0,80,80,50,40,50,25,325,0.9,30.0,https://img.pokemondb.net/sprites/home/normal/2x/grimer.jpg
Muk,Poison,None,1.0,105,105,75,65,100,50,500,1.2,30.0,https://img.pokemondb.net/sprites/home/normal/2x/muk.jpg
Shellder,Water,None,1.0,30,65,100,45,25,40,305,0.3,4.0,https://img.pokemondb.net/sprites/home/normal/2x/shellder.jpg
Cloyster,Water,Ice,1.0,50,95,180,85,45,70,525,1.5,132.5,https://img.pokemondb.net/sprites/home/normal/2x/cloyster.jpg
Gastly,Ghost,Poison,1.0,30,35,30,100,35,80,310,1.3,0.1,https://img.pokemondb.net/sprites/home/normal/2x/gastly.jpg
Haunter,Ghost,Poison,1.0,45,50,45,115,55,95,405,1.6,0.1,https://img.pokemondb.net/sprites/home/normal/2x/haunter.jpg
Gengar,Ghost,Poison,1.0,60,65,60,130,75,110,500,1.5,40.5,https://img.pokemondb.net/sprites/home/normal/2x/gengar.jpg
Onix,Rock,Ground,1.0,35,45,160,30,45,70,385,8.8,210.0,https://img.pokemondb.net/sprites/home/normal/2x/onix.jpg
Drowzee,Psychic,None,1.0,60,48,45,43,90,42,328,1.0,32.4,https://img.pokemondb.net/sprites/home/normal/2x/drowzee.jpg
Hypno,Psychic,None,1.0,85,73,70,73,115,67,483,1.6,75.6,https://img.pokemondb.net/sprites/home/normal/2x/hypno.jpg
Krabby,Water,None,1.0,30,105,90,25,25,50,325,0.4,6.5,https://img.pokemondb.net/sprites/home/normal/2x/krabby.jpg
Kingler,Water,None,1.0,55,130,115,50,50,75,475,1.3,60.0,https://img.pokemondb.net/sprites/home/normal/2x/kingler.jpg
Voltorb,Electric,None,1.0,40,30,50,55,55,100,330,0.5,10.4,https://img.pokemondb.net/sprites/home/normal/2x/voltorb.jpg
Electrode,Electric,None,1.0,60,50,70,80,80,150,490,1.2,66.6,https://img.pokemondb.net/sprites/home/normal/2x/electrode.jpg
Exeggcute,Grass,Psychic,1.0,60,40,80,60,45,40,325,0.4,2.5,https://img.pokemondb.net/sprites/home/normal/2x/exeggcute.jpg
Exeggutor,Grass,Psychic,1.0,95,95,85,125,75,55,530,2.0,120.0,https://img.pokemondb.net/sprites/home/normal/2x/exeggutor.jpg
Cubone,Ground,None,1.0,50,50,95,40,50,35,320,0.4,6.5,https://img.pokemondb.net/sprites/home/normal/2x/cubone.jpg
Marowak,Ground,None,1.0,60,80,110,50,80,45,425,1.0,45.0,https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg
Hitmonlee,Fighting,None,1.0,50,120,53,35,110,87,455,1.5,49.8,https://img.pokemondb.net/sprites/home/normal/2x/hitmonlee.jpg
Hitmonchan,Fighting,None,1.0,50,105,79,35,110,76,455,1.4,50.2,https://img.pokemondb.net/sprites/home/normal/2x/hitmonchan.jpg
Lickitung,Normal,None,1.0,90,55,75,60,75,30,385,1.2,65.5,https://img.pokemondb.net/sprites/home/normal/2x/lickitung.jpg
Koffing,Poison,None,1.0,40,65,95,60,45,35,340,0.6,1.0,https://img.pokemondb.net/sprites/home/normal/2x/koffing.jpg
Weezing,Poison,None,1.0,65,90,120,85,70,60,490,1.2,9.5,https://img.pokemondb.net/sprites/home/normal/2x/weezing.jpg
Rhyhorn,Ground,Rock,1.0,80,85,95,30,30,25,345,1.0,115.0,https://img.pokemondb.net/sprites/home/normal/2x/rhyhorn.jpg
Rhydon,Ground,Rock,1.0,105,130,120,45,45,40,485,1.9,120.0,https://img.pokemondb.net/sprites/home/normal/2x/rhydon.jpg
Chansey,Normal,None,1.0,250,5,5,35,105,50,450,1.1,34.6,https://img.pokemondb.net/sprites/home/normal/2x/chansey.jpg
Tangela,Grass,None,1.0,65,55,115,100,40,60,435,1.0,35.0,https://img.pokemondb.net/sprites/home/normal/2x/tangela.jpg
Kangaskhan,Normal,None,1.0,105,95,80,40,80,90,490,2.2,80.0,https://img.pokemondb.net/sprites/home/normal/2x/kangaskhan.jpg
Horsea,Water,None,1.0,30,40,70,70,25,60,295,0.4,8.0,https://img.pokemondb.net/sprites/home/normal/2x/horsea.jpg
Seadra,Water,None,1.0,55,65,95,95,45,85,440,1.2,25.0,https://img.pokemondb.net/sprites/home/normal/2x/seadra.jpg
Goldeen,Water,None,1.0,45,67,60,35,50,63,320,0.6,15.0,https://img.pokemondb.net/sprites/home/normal/2x/goldeen.jpg
Seaking,Water,None,1.0,80,92,65,65,80,68,450,1.3,39.0,https://img.pokemondb.net/sprites/home/normal/2x/seaking.jpg
Staryu,Water,None,1.0,30,45,55,70,55,85,340,0.8,34.5,https://img.pokemondb.net/sprites/home/normal/2x/staryu.jpg
Starmie,Water,Psychic,1.0,60,75,85,100,85,115,520,1.1,80.0,https://img.pokemondb.net/sprites/home/normal/2x/starmie.jpg
Mr. Mime,Psychic,Fairy,1.0,40,45,65,100,120,90,460,1.3,54.5,https://img.pokemondb.net/sprites/home/normal/2x/mr-mime.jpg
Scyther,Bug,Flying,1.0,70,110,80,55,80,105,500,1.5,56.0,https://img.pokemondb.net/sprites/home/normal/2x/scyther.jpg
Jynx,Ice,Psychic,1.0,65,50,35,115,95,95,455,1.4,40.6,https://img.pokemondb.net/sprites/home/normal/2x/jynx.jpg
Electabuzz,Electric,None,1.0,65,83,57,95,85,105,490,1.1,30.0,https://img.pokemondb.net/sprites/home/normal/2x/electabuzz.jpg
Magmar,Fire,None,1.0,65,95,57,100,85,93,495,1.3,44.5,https://img.pokemondb.net/sprites/home/normal/2x/magmar.jpg
Pinsir,Bug,None,1.0,65,125,100,55,70,85,500,1.5,55.0,https://img.pokemondb.net/sprites/home/normal/2x/pinsir.jpg
Tauros,Normal,None,1.0,75,100,95,40,70,110,490,1.4,88.4,https://img.pokemondb.net/sprites/home/normal/2x/tauros.jpg
Magikarp,Water,None,1.0,20,10,55,15,20,80,200,0.9,10.0,https://img.pokemondb.net/sprites/home/normal/2x/magikarp.jpg
Gyarados,Water,Flying,1.0,95,125,79,60,100,81,540,6.5,235.0,https://img.pokemondb.net/sprites/home/normal/2x/gyarados.jpg
Lapras,Water,Ice,1.0,130,85,80,85,95,60,535,2.5,220.0,https://img.pokemondb.net/sprites/home/normal/2x/lapras.jpg
Ditto,Normal,None,1.0,48,48,48,48,48,48,288,0.3,4.0,https://img.pokemondb.net/sprites/home/normal/2x/ditto.jpg
Eevee,Normal,None,1.0,55,55,50,45,65,55,325,0.3,6.5,https://img.pokemondb.net/sprites/home/normal/2x/eevee.jpg
Vaporeon,Water,None,1.0,130,65,60,110,95,65,525,1.0,29.0,https://img.pokemondb.net/sprites/home/normal/2x/vaporeon.jpg
Jolteon,Electric,None,1.0,65,65,60,110,95,130,525,0.8,24.5,https://img.pokemondb.net/sprites/home/normal/2x/jolteon.jpg
Flareon,Fire,None,1.0,65,130,60,95,110,65,525,0.9,25.0,https://img.pokemondb.net/sprites/home/normal/2x/flareon.jpg
Porygon,Normal,None,1.0,65,60,70,85,75,40,395,0.8,36.5,https://img.pokemondb.net/sprites/home/normal/2x/porygon.jpg
Omanyte,Rock,Water,1.0,35,40,100,90,55,35,355,0.4,7.5,https://img.pokemondb.net/sprites/home/normal/2x/omanyte.jpg
Omastar,Rock,Water,1.0,70,60,125,115,70,55,495,1.0,35.0,https://img.pokemondb.net/sprites/home/normal/2x/omastar.jpg
Kabuto,Rock,Water,1.0,30,80,90,55,45,55,355,0.5,11.5,https://img.pokemondb.net/sprites/home/normal/2x/kabuto.jpg
Kabutops,Rock,Water,1.0,60,115,105,65,70,80,495,1.3,40.5,https://img.pokemondb.net/sprites/home/normal/2x/kabutops.jpg
Aerodactyl,Rock,Flying,1.0,80,105,65,60,75,130,515,1.8,59.0,https://img.pokemondb.net/sprites/home/normal/2x/aerodactyl.jpg
Snorlax,Normal,None,1.0,160,110,65,65,110,30,540,2.1,460.0,https://img.pokemondb.net/sprites/home/normal/2x/snorlax.jpg
Articuno,Ice,Flying,1.0,90,85,100,95,125,85,580,1.7,55.4,https://img.pokemondb.net/sprites/home/normal/2x/articuno.jpg
Zapdos,Electric,Flying,1.0,90,90,85,125,90,100,580,1.6,52.6,https://img.pokemondb.net/sprites/home/normal/2x/zapdos.jpg
Moltres,Fire,Flying,1.0,90,100,90,125,85,90,580,2.0,60.0,https://img.pokemondb.net/sprites/home/normal/2x/moltres.jpg
Dratini,Dragon,None,1.0,41,64,45,50,50,50,300,1.8,3.3,https://img.pokemondb.net/sprites/home/normal/2x/dratini.jpg
Dragonair,Dragon,None,1.0,61,84,65,70,70,70,420,4.0,16.5,https://img.pokemondb.net/sprites/home/normal/2x/dragonair.jpg
Dragonite,Dragon,Flying,1.0,91,134,95,100,100,80,600,2.2,210.0,https://img.pokemondb.net/sprites/home/normal/2x/dragonite.jpg
Mewtwo,Psychic,None,1.0,106,110,90,154,90,130,680,2.0,122.0,https://img.pokemondb.net/sprites/home/normal/2x/mewtwo.jpg
Mew,Psychic,None,1.0,100,100,100,100,100,100,600,0.4,4.0,https://img.pokemondb.net/sprites/home/normal/2x/mew.jpg
Chikorita,Grass,None,2.0,45,49,65,49,65,45,318,0.9,6.4,https://img.pokemondb.net/sprites/home/normal/2x/chikorita.jpg
Bayleef,Grass,None,2.0,60,62,80,63,80,60,405,1.2,15.8,https://img.pokemondb.net/sprites/home/normal/2x/bayleef.jpg
Meganium,Grass,None,2.0,80,82,100,83,100,80,525,1.8,100.5,https://img.pokemondb.net/sprites/home/normal/2x/meganium.jpg
Cyndaquil,Fire,None,2.0,39,52,43,60,50,65,309,0.5,7.9,https://img.pokemondb.net/sprites/home/normal/2x/cyndaquil.jpg
Quilava,Fire,None,2.0,58,64,58,80,65,80,405,0.9,19.0,https://img.pokemondb.net/sprites/home/normal/2x/quilava.jpg
Typhlosion,Fire,None,2.0,78,84,78,109,85,100,534,1.7,79.5,https://img.pokemondb.net/sprites/home/normal/2x/typhlosion.jpg
Totodile,Water,None,2.0,50,65,64,44,48,43,314,0.6,9.5,https://img.pokemondb.net/sprites/home/normal/2x/totodile.jpg
Croconaw,Water,None,2.0,65,80,80,59,63,58,405,1.1,25.0,https://img.pokemondb.net/sprites/home/normal/2x/croconaw.jpg
Feraligatr,Water,None,2.0,85,105,100,79,83,78,530,2.3,88.8,https://img.pokemondb.net/sprites/home/normal/2x/feraligatr.jpg
Sentret,Normal,None,2.0,35,46,34,35,45,20,215,0.8,6.0,https://img.pokemondb.net/sprites/home/normal/2x/sentret.jpg
Furret,Normal,None,2.0,85,76,64,45,55,90,415,1.8,32.5,https://img.pokemondb.net/sprites/home/normal/2x/furret.jpg
Hoothoot,Normal,Flying,2.0,60,30,30,36,56,50,262,0.7,21.2,https://img.pokemondb.net/sprites/home/normal/2x/hoothoot.jpg
Noctowl,Normal,Flying,2.0,100,50,50,86,96,70,452,1.6,40.8,https://img.pokemondb.net/sprites/home/normal/2x/noctowl.jpg
Ledyba,Bug,Flying,2.0,40,20,30,40,80,55,265,1.0,10.8,https://img.pokemondb.net/sprites/home/normal/2x/ledyba.jpg
Ledian,Bug,Flying,2.0,55,35,50,55,110,85,390,1.4,35.6,https://img.pokemondb.net/sprites/home/normal/2x/ledian.jpg
Spinarak,Bug,Poison,2.0,40,60,40,40,40,30,250,0.5,8.5,https://img.pokemondb.net/sprites/home/normal/2x/spinarak.jpg
Ariados,Bug,Poison,2.0,70,90,70,60,70,40,400,1.1,33.5,https://img.pokemondb.net/sprites/home/normal/2x/ariados.jpg
Crobat,Poison,Flying,2.0,85,90,80,70,80,130,535,1.8,75.0,https://img.pokemondb.net/sprites/home/normal/2x/crobat.jpg
Chinchou,Water,Electric,2.0,75,38,38,56,56,67,330,0.5,12.0,https://img.pokemondb.net/sprites/home/normal/2x/chinchou.jpg
Lanturn,Water,Electric,2.0,125,58,58,76,76,67,460,1.2,22.5,https://img.pokemondb.net/sprites/home/normal/2x/lanturn.jpg
Pichu,Electric,None,2.0,20,40,15,35,35,60,205,0.3,2.0,https://img.pokemondb.net/sprites/home/normal/2x/pichu.jpg
Cleffa,Fairy,None,2.0,50,25,28,45,55,15,218,0.3,3.0,https://img.pokemondb.net/sprites/home/normal/2x/cleffa.jpg
Igglybuff,Normal,Fairy,2.0,90,30,15,40,20,15,210,0.3,1.0,https://img.pokemondb.net/sprites/home/normal/2x/igglybuff.jpg
Togepi,Fairy,None,2.0,35,20,65,40,65,20,245,0.3,1.5,https://img.pokemondb.net/sprites/home/normal/2x/togepi.jpg
Togetic,Fairy,Flying,2.0,55,40,85,80,105,40,405,0.6,3.2,https://img.pokemondb.net/sprites/home/normal/2x/togetic.jpg
Natu,Psychic,Flying,2.0,40,50,45,70,45,70,320,0.2,2.0,https://img.pokemondb.net/sprites/home/normal/2x/natu.jpg
Xatu,Psychic,Flying,2.0,65,75,70,95,70,95,470,1.5,15.0,https://img.pokemondb.net/sprites/home/normal/2x/xatu.jpg
Mareep,Electric,None,2.0,55,40,40,65,45,35,280,0.6,7.8,https://img.pokemondb.net/sprites/home/normal/2x/mareep.jpg
Flaaffy,Electric,None,2.0,70,55,55,80,60,45,365,0.8,13.3,https://img.pokemondb.net/sprites/home/normal/2x/flaaffy.jpg
Ampharos,Electric,None,2.0,90,75,85,115,90,55,510,1.4,61.5,https://img.pokemondb.net/sprites/home/normal/2x/ampharos.jpg
Bellossom,Grass,None,2.0,75,80,95,90,100,50,490,0.4,5.8,https://img.pokemondb.net/sprites/home/normal/2x/bellossom.jpg
Marill,Water,Fairy,2.0,70,20,50,20,50,40,250,0.4,8.5,https://img.pokemondb.net/sprites/home/normal/2x/marill.jpg
Azumarill,Water,Fairy,2.0,100,50,80,60,80,50,420,0.8,28.5,https://img.pokemondb.net/sprites/home/normal/2x/azumarill.jpg
Sudowoodo,Rock,None,2.0,70,100,115,30,65,30,410,1.2,38.0,https://img.pokemondb.net/sprites/home/normal/2x/sudowoodo.jpg
Politoed,Water,None,2.0,90,75,75,90,100,70,500,1.1,33.9,https://img.pokemondb.net/sprites/home/normal/2x/politoed.jpg
Hoppip,Grass,Flying,2.0,35,35,40,35,55,50,250,0.4,0.5,https://img.pokemondb.net/sprites/home/normal/2x/hoppip.jpg
Skiploom,Grass,Flying,2.0,55,45,50,45,65,80,340,0.6,1.0,https://img.pokemondb.net/sprites/home/normal/2x/skiploom.jpg
Jumpluff,Grass,Flying,2.0,75,55,70,55,95,110,460,0.8,3.0,https://img.pokemondb.net/sprites/home/normal/2x/jumpluff.jpg
Aipom,Normal,None,2.0,55,70,55,40,55,85,360,0.8,11.5,https://img.pokemondb.net/sprites/home/normal/2x/aipom.jpg
Sunkern,Grass,None,2.0,30,30,30,30,30,30,180,0.3,1.8,https://img.pokemondb.net/sprites/home/normal/2x/sunkern.jpg
Sunflora,Grass,None,2.0,75,75,55,105,85,30,425,0.8,8.5,https://img.pokemondb.net/sprites/home/normal/2x/sunflora.jpg
Yanma,Bug,Flying,2.0,65,65,45,75,45,95,390,1.2,38.0,https://img.pokemondb.net/sprites/home/normal/2x/yanma.jpg
Wooper,Water,Ground,2.0,55,45,45,25,25,15,210,0.4,8.5,https://img.pokemondb.net/sprites/home/normal/2x/wooper.jpg
